name,restaurant_name,identifier,calories,price_usd
WHITE LIGHT COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,4.99
WHITE LIGHT HOT N SPICY COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.49
BABY HENRI COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.39
DOUBLE WHITE LIGHT COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,8.49
DOUBLE BABY HENRI COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,7.29
HOTDOG COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,5.49
FOOTLONG COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.99
PORK TENDERLOIN COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,10.99
EGG SLIDER COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,3.99
HOT HAM & CHEESE COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,7.99
SAUSAGE SLIDER COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,4.99
SAUSAGE EGG SLIDER COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,5.99
DOUBLE SAUSAGE SLIDER COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,4.72
DOUBLE SAUSAGE EGG COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,5.99
SMOKED HAM COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.49
HAM CHEESE EGG SLIDER COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,4.72
HOT DOG FAMILY MEAL - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,25.99
HOT DOG FAMILY MEAL WITHOUT DRINKS - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,20.99
24 WHITE LIGHTS - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,29.99
WHITE LIGHT FAMILY MEAL - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,29.99
WHITE LIGHT FAM NO DRINKS - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,19.99
DOUBLE WHITE LIGHTS FAMILY MEAL (NO DRINKS) - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,28.99
DOUBLE WHITE LIGHT FAMILY COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,37.99
BIG T ORIGINAL - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.49
BIG T HOT N SPICY - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,5.99
BABY HENRI - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,2.99
DOUBLE BABY HENRI - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,3.59
BIG T BACON - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,5.99
BIG T BACON N EGG - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.49
BIG T DONUT - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.99
BIG T HAWAIIAN - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.99
BIG T BOOGIE - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,5.99
BIG T GUNNER - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.99
HOTDOG SAUCE SLIDER - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,2.49
WHITE LIGHT SINGLE - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,1.49
WHITE LIGHT DOUBLE - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,2.29
SUMMER TIME CLASSIC BURGER - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,5.99
ROUTE 60 BURGER - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.99
PLAIN HOT DOG - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,1.50
HOT DOG - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,1.99
FOOTLONG - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,3.39
HOTDOG COMBO - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,5.99
BIG COUNTRY SANDWICH - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,5.99
BIG COUNTRY GRAVY SANDWICH - REGULAR,JANE ON LARKIN,"SAN FRANCISCO, CA",,6.99
