name,restaurant_name,identifier,calories,price_usd
FIRE ROASTED CORN ON THE COB - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,7.00
BUFFALO CAULIFLOWER - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,8.00
FISH 'N CHIPS - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,14.00
BRUSSEL SPROUTS - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,11.00
PORKY BUNZ - 2 BUNZ,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,12.00
HOUSE SALAD - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,10.00
MONSTER SALAD - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,12.00
CAESAR SALAD - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,11.00
CRAZY FRIES - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,9.00
GARLIC PARMESAN TRUFFLE FRIES - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,9.00
BAJA FRIES - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,16.00
THE MONSTER FRIES - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,15.00
THE CREEPER SWEET POTATO FRIES - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,15.00
3 CHEESE MAC - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,12.00
THE SMOKEY MAC - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,14.00
EL FUEGO MAC - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,15.00
THE MAC DADDY MAC - REGULAR,JAVA JS COFFEEHOUSE,"CHOWNOW, ORLANDO, FL",,16.00
