name,restaurant_name,identifier,calories,price_usd
HILLTOP HAMBURGER BUNS - 6752900 - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,8.00
BREW CITY - 7265424 - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,41.00
FIRE GRILLED CHICKEN SANDWICH - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.59
THREE CHEESE RAVIOLI - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,15.59
STRAWBERRY HERB & SPRING MIX SALAD - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.49
RAINBOW SHRIMP BOWL - SMALL,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,11.49
RAINBOW SHRIMP BOWL - LARGE,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,14.98
BISON BISCUIT BOWL - SMALL,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,11.49
BISON BISCUIT BOWL - LARGE,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,14.98
MEATLESS MEXICAN PIZZA - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,11.49
6 WINGS - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,6.69
12 WINGS - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,13.20
CORKSCREW CALAMARI - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,8.49
BROCCOLI CHEDDAR SOUP - CUP,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,4.99
BROCCOLI CHEDDAR SOUP - BOWL,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,8.48
CAESAR SALAD - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.49
SEASONAL BERRY & PECAN SALAD - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.49
STRAWBERRY HERB & SPRING MIX SALAD - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.49
BUILD YOUR OWN BURGER - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,9.49
FIRE GRILLED CHICKEN SANDWICH - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.59
CUBAN REUBEN - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.59
BBQ TRI TIP SANDWICH - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,13.49
CRAFT YOUR OWN | FULL PIE - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.49
CRAFT YOUR OWN | HALF & HALF - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,11.49
SUPREME PIZZA - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,14.49
VEGGIE PIZZA - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.49
BBQ CHICKEN PIZZA - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,14.49
MEATLESS MEXICAN PIZZA - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,11.49
BUILD YOUR OWN BOWL - SMALL,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,11.49
BUILD YOUR OWN BOWL - LARGE,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,14.98
RAINBOW SHRIMP BOWL - SMALL,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,11.49
RAINBOW SHRIMP BOWL - LARGE,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,14.98
BISON BISCUIT BOWL - SMALL,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,11.49
BISON BISCUIT BOWL - LARGE,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,14.98
BURRITO - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,11.49
FAJITAS - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,15.99
TACOS - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.99
PORK BELLY BAHN MI TACOS - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,12.99
GRILLED RIB EYE STEAK - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,23.79
BABY BACK RIBS - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,16.49
SLICE OF BLACK RASPBERRY OMBRE CAKE - REGULAR,JB'S SEAFOOD MARKET,"CHOWNOW, ST PETERSBURG, FL",,4.49
