name,restaurant_name,identifier,calories,price_usd
BISCUITS ‘N GRAVY ‘N EGGS - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,10.45
CAJUN STEAK 'N EGGS - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,15.95
COUNTRY-FRIED STEAK ‘N EGGS - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,12.95
HAM STEAK ‘N EGGS - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,11.45
HUEVOS RANCHEROS - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,12.45
PORK SAUSAGE LINK OR PATTIES ‘N EGGS - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,11.95
SCRAMBLE RITO - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,13.45
SHINGLED TOAST ‘N EGGS - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,10.45
THE CAJUN BREAKFAST - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,12.95
THICK-CUT BACON ‘N EGGS - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,11.95
TURKEY SAUSAGE LINKS ‘N EGGS - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,11.95
CAFE KITCHEN SINK OMELETTE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,13.95
DENVER RITO OMELETTE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,13.45
FIESTA OMELETTE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,12.95
GARDEN OMELETTE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,11.95
SOUTH BY SOUTHWEST OMELETTE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,12.45
SPINACH OMELETTE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,11.95
SWOON OVER SMOKED SALMON OMELETTE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,13.95
WESTWARD HO! OMELETTE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,12.45
CAFE KITCHEN SINK SCRAMBLE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,13.45
GARDEN SCRAMBLE - REGULAR,JENSEN'S CAFE,"CHOWNOW, BURNSVILLE, MN",,11.45
