name,restaurant_name,identifier,calories,price_usd
ONION RINGS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,5.00
MINI TACOS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,5.00
CHEESE STICKS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,5.00
WARM PRETZELS & BEER CHEESE - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,6.00
BATTERED AVOCADOS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,6.00
FRIED PICKLES - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,5.00
SIDE SALAD - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,4.00
CHEF'S SALAD - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,10.00
"CRISPY, GRILLED OR BUFFALO CHICKEN SALAD - REGULAR",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,11.00
"CRISPY, GRILLED OR BUFFALO CHICKEN WRAP - REGULAR",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,10.00
SOUP OF THE DAY - CUP,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,3.00
SOUP OF THE DAY - BOWL,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,4.00
BURGER WRAP - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,10.00
BLT WRAP W/BAR CHIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,9.00
VEGGIE WRAP W/BAR CHIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,9.00
CHICKEN PATTY SANDWICH W/BAR CHIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,8.00
TENDERLOIN SANDWICH W/BAR CHIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,10.00
GRILLED CHICKEN SANDWICH W/BAR CHIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,8.00
BIG HAMBURGER W/BAR CHIPS - HALF POUND,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,8.00
BIG HAMBURGER W/BAR CHIPS - FULL POUND,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,13.00
CLASSIC GARLIC HOAGIE W/BAR CHIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,10.00
FRENCH DIP W/BAR CHIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,9.00
BLT & CHIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,7.00
"BBQ CHICKEN PIZZA - 12""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,15.00
"BBQ CHICKEN PIZZA - 16""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,19.00
"BUILD YOUR OWN PIZZA - SMALL 12""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,12.00
"BUILD YOUR OWN PIZZA - LARGE 16""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,14.00
CHEESE BREADSTICK - SMALL,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,12.00
CHEESE BREADSTICK - LARGE,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,15.00
"CHEESE PIZZA - 12""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,12.00
"CHEESE PIZZA - 16""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,14.00
HOMEMADE HAM OR BEEF ROLL - SMALL,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,14.00
HOMEMADE HAM OR BEEF ROLL - LARGE,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,19.00
"SUPREME PIZZA - 12""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,16.00
"SUPREME PIZZA - 16""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,20.00
"CHICKEN BACON RANCH PIZZA - 12""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,16.00
"CHICKEN BACON RANCH PIZZA - 16""",JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,20.00
GRILLED OR BREADED SHRIMP - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,15.00
CHICKEN STRIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,11.00
WALLEYE - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,11.00
COD - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,13.00
FRIED CHICKEN - FOURTH,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,11.00
FRIED CHICKEN - HALF,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,13.00
BAKED POTATO - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,2.50
FRENCH FRIES/NEW WEDGES - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,2.50
COTTAGE CHEESE - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,2.50
APPLESAUCE - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,2.00
SIDE SALAD - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,4.00
CHEESE & FLAT BREAD CRACKERS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,3.00
BAR CHIPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,2.50
FRESH BAKED BREAD LOAF - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,3.00
HOMEMADE COLESLAW - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,2.50
HOMEMADE PEA SALAD - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,2.50
SPAGHETTI - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,5.00
TATER TOTS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,2.50
PORK CHOPS - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,15.00
RIBS - HALF,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,15.00
RIBS - FULL,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,19.00
JERRY'S FAMOUS HOT BEEF PLATE - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,14.00
USDA CHOICE WELL-AGED RIBEYE - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,21.00
CHOPPED SIRLOIN - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,14.00
JERRY'S PRIME RIB - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,24.00
JERRY'S PRIME RIB - DOUBLE CUT,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,33.00
RIBEYE & GO JUS SHRIMP - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,27.00
PASTA WITH CHICKEN PARMESAN - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,15.00
SPAGHETTI - REGULAR,JERRYS TAP & DINING,"CHOWNOW, RANSOM, IL",,13.00
