name,restaurant_name,identifier,calories,price_usd
XINJIANG CHICKEN WINGS - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,12.00
KOREAN CHICKEN WINGS - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,12.00
"PAPAYA SALAD V, GF - REGULAR",JING YAN LLC,"CHOWNOW, PORTLAND, ME",,12.00
TOFU - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,11.00
FRIED BRUSSEL SPROUTS - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,11.00
FRIED CHICKEN - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,12.00
TOFU BUN - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,12.00
MUSHROOM - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,12.00
SWEET & SOUR SHRIMP & CHICKEN - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,15.00
GYUDON BOWL GF - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,15.00
TOM KHA V - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,15.00
BEEF SOUP NOODLES - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,16.00
SHOYU RAMEN - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,15.00
SPICY MISO RAMEN - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,16.00
TIKI-STYLE SINGAPORE SLING (MAKES ONE COCKTAIL) - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,12.00
CHOCOLATE NEGRONI (MAKES TWO COCKTAILS) - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,25.00
BLUEBERRY LAVENDER PUNCH (MAKES ONE COCKTAIL) - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,12.00
LOST IN THAILAND (MAKES ONE COCKTAIL) - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,13.00
ORANGE: TONNINO PINOT GRIGIO RAMATO - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,20.00
PROSECCO: COL DI LUNA FLORA - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,26.00
WHITE: CARDEDU VERMENTINO DI SARDEGNA - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,27.00
RED: P'TIT GROBIS GAMAY - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,27.00
ALLAGASH WHITE - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,5.00
NONESUCH 2.0 IPA - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,5.00
HOUSE-MADE TEA SODA - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,5.00
SOFT DRINK - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,4.00
HOUSE-BREWED ALMOND ICED TEA - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,5.00
BLUEBERRY LAVENDER SODA - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,6.00
SOY EGG - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,2.00
RICE - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,5.00
SIDE OF BROCCOLI V - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,6.00
SIDE HOUSE-MADE CHILI OIL - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,1.00
HOUSE-MADE SWEET AND SOUR SAUCE (8 OZ) - REGULAR,JING YAN LLC,"CHOWNOW, PORTLAND, ME",,5.00
