name,restaurant_name,identifier,calories,price_usd
SPINACH & ARTICHOKE DIP - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,7.55
CHEESY SHRIMP QUESO DIP - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,8.55
GARLIC BREAD - 1/2 ORDER - HALF ORDER,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,3.00
GARLIC BREAD - WHOLE ORDER - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,6.00
CHEESE BREAD - 1/2 ORDER - HALF ORDER,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,3.75
CHEESE BREAD - WHOLE ORDER - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,7.45
TRADITIONAL WINGS - 6 PIECES,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,8.00
TRADITIONAL WINGS - 12 PIECES,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.50
TRADITIONAL WINGS - 24 PIECES,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,30.00
BONELESS CHICKEN WINGS - 6 PIECES,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,5.50
BONELESS CHICKEN WINGS - 12 PIECES,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,10.50
BONELESS CHICKEN WINGS - 24 PIECES,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,20.50
BUFFALO CHICKEN BITES - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,5.55
HAM & CHEESE SALAD - SIDE SALAD,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,6.75
HAM & CHEESE SALAD - DINNER SALAD,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.00
CHICKEN PARMESAN SALAD - SIDE SALAD,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,6.95
CHICKEN PARMESAN SALAD - DINNER SALAD,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.25
BOILED SHRIMP SALAD - SIDE SALAD,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,7.75
BOILED SHRIMP SALAD - DINNER SALAD,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,10.50
PESTO PASTA SALAD - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,6.75
CAESAR PASTA SALAD - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,6.75
BACON RANCH PASTA SALAD - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,6.75
SALAD WRAPS - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,7.50
HAM & CHEESE PO-BOY - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,8.75
SHREDDED ROAST BEEF SANDWICH - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,8.95
CHICKEN BACON RANCH PO-BOY - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,8.95
BOILED SHRIMP PO-BOY - REGULAR,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.50
MUFFULETTA SANDWICH - HALF,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,8.00
MUFFULETTA SANDWICH - WHOLE,JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,12.95
"GATOR BAIT PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"GATOR BAIT PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"GATOR BAIT PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"GATOR BAIT PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"GATOR BAIT PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"GARDEN DELIGHT PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"GARDEN DELIGHT PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"GARDEN DELIGHT PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"GARDEN DELIGHT PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"GARDEN DELIGHT PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"THE SURPREME PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"THE SURPREME PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"THE SURPREME PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"THE SURPREME PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"THE SURPREME PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"STALLION PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"STALLION PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"STALLION PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"STALLION PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"STALLION PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"THE PENN SPECIAL - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"THE PENN SPECIAL - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"THE PENN SPECIAL - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"THE PENN SPECIAL - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"THE PENN SPECIAL - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"THE CARNIVORE PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,10.25
"THE CARNIVORE PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,16.00
"THE CARNIVORE PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,22.25
"THE CARNIVORE PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.50
"THE CARNIVORE PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,44.00
"HAWAIIAN KICKER PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"HAWAIIAN KICKER PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"HAWAIIAN KICKER PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"HAWAIIAN KICKER PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"HAWAIIAN KICKER PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"JJ'S SPECIAL PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"JJ'S SPECIAL PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"JJ'S SPECIAL PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"JJ'S SPECIAL PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"JJ'S SPECIAL PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"TACO PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"TACO PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"TACO PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"TACO PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"TACO PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"TOUTES LES CHOSES PIZZA (EVERYTHING) - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,10.25
"TOUTES LES CHOSES PIZZA (EVERYTHING) - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,16.00
"TOUTES LES CHOSES PIZZA (EVERYTHING) - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,22.25
"TOUTES LES CHOSES PIZZA (EVERYTHING) - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.50
"TOUTES LES CHOSES PIZZA (EVERYTHING) - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,44.00
"LIL' J PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"LIL' J PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"LIL' J PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"LIL' J PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"LIL' J PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"CHICKEN BACON RANCH PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"CHICKEN BACON RANCH PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"CHICKEN BACON RANCH PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"CHICKEN BACON RANCH PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"CHICKEN BACON RANCH PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"BOUDIN PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"BOUDIN PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"BOUDIN PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
"BOUDIN PIZZA - GIANT (16"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,25.25
"BOUDIN PIZZA - MONSTER (21"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,42.00
"NOLA SPECIAL PIZZA - SMALL (8"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,9.30
"NOLA SPECIAL PIZZA - MEDIUM (11"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,15.15
"NOLA SPECIAL PIZZA - LARGE (13"")",JJ'S PIZZA,"CHOWNOW, BROUSSARD, LA",,21.00
