name,restaurant_name,identifier,calories,price_usd
NACHOS GRANDE - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
WALLEYE FINGERS - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,8.99
CHICKEN TENDERS - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,8.99
FRIED PICKLES - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,7.99
POUTINE - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,9.49
BEER BATTERED ONION RINGS - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,7.49
CHIPS & QUESO - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,6.99
SMOTHERED WAFFLE FRIES - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,7.49
CAJUN RANCH WAFFLE FRIES WITH SEASONED SOUR CREAM - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,5.99
FRESH TORTILLA CHIPS & SALSA - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,3.99
MAC-N-CHEESE BITES - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,8.49
BONELESS WINGS - 7 WINGS,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,8.79
BONELESS WINGS - 10 WINGS,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
HOUSE SALAD - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,3.49
SOUP DU JOUR - CUP,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,3.49
SOUP DU JOUR - BOWL,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,4.49
COCONUT CHICKEN SALAD - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
BLACK & BLEU SALAD - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,11.49
TACO SALAD - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
ADULT MAC - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,9.99
BONEYARD BBQ MAC-N-CHEESE - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,12.99
BEEF BRISKET SANDWICH - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,11.99
POT ROAST DIP - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,11.99
FOCACCIA GRILLED CHEESE SANDWICH - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,9.99
FRESH BATTERED COD SANDWICH - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
CAROLINA HONEY BBQ CHICKEN SANDWICH - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
CLUB SANDWICH - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
BLT N'A - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,9.99
JOE'S GYRO - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
MESQUITE CHICKEN QUESO WRAP - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
CHICKEN BACON RANCH WRAP - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
STEAKHOUSE WRAP - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,11.49
BACON CHEESEBURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
CHEESEBURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,9.99
THE WORKS BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
BLACK & BLEU PRETZEL BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
SHROOM BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
CHIPOTLE BBQ BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
BOURBON TERIYAKI BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
PEPPER JACK BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
CAJUN RANCH BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
THE BIG JOE BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
GARLIC BUFFALO BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.49
PEANUT BUTTER BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
TURKEY CLUB BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.79
TURKEY BACON CHEDDAR BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
CHIPOTLE TURKEY BURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
HEGGIES SAUSAGE PIZZA - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,12.99
HEGGIES PEPPERONI PIZZA - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,12.99
HEGGIES SAUSAGE & PEPPERONI PIZZA - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,13.99
HEGGIES DOUBLE CHEESE PIZZA - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,12.99
HEGGIES DELUXE COMBO PIZZA - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,14.99
HEGGIES SIX PACK PIZZA - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,14.99
PUB STYLE FISH-N-CHIPS - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,10.99
CHICKEN TENDER BASKET - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,9.99
SIZZLING FAJITAS - CHICKEN,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,13.49
SIZZLING FAJITAS - STEAK,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,14.49
BAKERY FRESH ROLL WITH BUTTER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,0.69
WALLEYE FINGERS - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,5.99
CHEESEBURGER - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,5.99
CHICKEN TENDERS - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,5.99
GRILLED CHEESE SANDWICH - REGULAR,JOE'S SPORTS CAFE,"CHOWNOW, FAIRBAULT, MN",,5.99
