name,restaurant_name,identifier,calories,price_usd
PULLED PORK ENTREE - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,12.50
CHICKEN ENTREE - 1/4 CHICKEN,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,12.50
CHICKEN ENTREE - 1/2 CHICKEN,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,16.50
CHICKEN ENTREE - WHOLE CHICKEN,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,24.50
FULL RACK OF RIBS - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,35.00
HALF RACK OF RIBS - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,24.50
RIB ENTREE - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,17.95
CURRY CHICKEN ENTREE - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,15.00
BROWN STEW CHICKEN ENTREE - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,15.00
OXTAIL ENTREE - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,22.50
BEEF SHORT RIB ENTREE - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,19.95
MAC & CHEESE - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,6.50
COLLARD GREENS - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,6.50
SAUTEED CABBAGE WITH CARROTS & POTATO - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,6.50
RED BEANS & RICE - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,6.50
PLANTAIN - REGULAR,JULES CARIBBEAN BBQ,"CHOWNOW, LEESBURG, VA",,6.50
