name,restaurant_name,identifier,calories,price_usd
CRISPY SPRING ROLL - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,5.95
FRESH SPRING ROLL - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,6.50
SATAY CHICKEN - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,9.00
SATAY TOFU - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,8.00
CRISPY AVOCADO WEDGES - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,6.95
CRAB RANGOON - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,7.00
CRISPY CHICKEN WONTON - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,6.95
POTSTICKERS - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,6.95
GOLDEN TOFU - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,6.95
CHILI WINGS - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,9.50
CALAMARI - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,9.50
SHRIMP IN A BLANKET - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,9.50
LETTUCE WRAPS - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,10.95
SPINACH WRAPS - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,10.96
BAIBUA PARADE - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,12.95
TOM YUM SOUP - SMALL,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,6.95
TOM YUM SOUP - LARGE,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,11.95
TOM KHA SOUP - SMALL,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,6.95
TOM KHA SOUP - LARGE,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,11.95
WONTON SOUP - SMALL,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,6.95
WONTON SOUP - LARGE,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,11.95
VEGETABLE CLEAR SOUP - SMALL,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,5.95
VEGETABLE CLEAR SOUP - LARGE,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,10.95
GREEN SALAD WITH AVOCADO - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,7.95
THAI SALAD KAK - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,10.50
PAPAYA SALAD - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,9.50
PAPAYA SALAD - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,10.50
MANGO SALAD - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,10.50
SHRIMP COCONUT WITH APPLE SALAD - REGULAR,JV'S DOWNTOWN BAR AND GRILL,"CHOWNOW, WATERLOO, IL",,11.95
