name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,0.00
DE CASA SALAD - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,8.00
CAESAR SALAD - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,10.00
RANCHERO SALAD - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,13.25
KACHIS SALAD - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,16.75
CHOPPED CHICKEN SANGUCHES - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,9.99
CASUAL BURGER - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,8.99
KACHIS BURGER - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,8.99
STEAK & CHEESE SANGUCHES - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,11.99
KACHIS DE-BONED CHICKEN | HALF - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,16.00
CARNE ASADA - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,18.50
PORK CHOPS - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,13.99
CHICKEN CILANTRO - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,14.99
KACHIS PARRILLA - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,37.50
BROCHETAS DE POLLO - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,15.50
SUPER PARRILLA MIX - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,21.99
GRILLED CORDERO | LAMB - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,20.50
PARRILLA SHRIMPS - REGULAR,KACHIS CHICKEN,"CHOWNOW, SUITLAND, MD",,17.99
