name,restaurant_name,identifier,calories,price_usd
1. VEGETARIAN SPRING ROLLS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,6.00
2. STEAMED OR FRIED PORK DUMPLINGS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,8.00
3. STEAMED OR FRIED VEGETABLE DUMPLINGS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,8.00
4. STEAMED OR FRIED SEAFOOD DUMPLINGS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,8.00
5. CRISPY FRIED CHIVE & EGG DUMPLINGS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,6.00
6. STEAMED JUICY PORK BUNS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,9.00
7. STEAMED VEGETABLE BUNS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,7.00
8. SHANGHAI VEGETARIAN WONTON SOUP - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,7.00
9. SHANGHAI PORK WONTON SOUP - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,7.00
10. HOUSE SPECIAL HOT-N-SOUR SOUP - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,8.00
11. SPICY WONTONS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,8.00
12. CHICKEN SHU-MAI - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,6.00
13. PORK SHU-MAI - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,6.00
14. VEGETABLE SHU-MAI - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,6.00
15. STICKY RICE SHU-MAI - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,6.00
16. FRIED CHICKEN WINGS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,8.00
17. SCALLION PANCAKE - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,8.00
18. SWEET & SOUR CUCUMBER SALAD - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,6.00
19. CHINESE EGGPLANT SALAD - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,7.00
37. SHANGHAI STYLE LO-MEIN - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
38. NOODLE WITH SPICY MEAT & BEAN PASTE - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
39. VEGETABLE NOODLE IN OYSTER SAUCE - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
"40. NOODLE SOUP WITH SPINACH, CHINESE MUSHROOM & TOFU - REGULAR",KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
41. SAUTEED SPICY CELLOPHANE NOODLE WITH GROUND PORK - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
42. SAUTEED RICE CAKE - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
43. RICE CAKE IN SOUP - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
44. HOUSE SPECIAL FRIED RICE - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
45. VEGETABLE FRIED RICE - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
T1. SHREDDED CHICKEN WITH SPINACH NOODLE SOUP - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
T2. BEEF STEW NOODLE SOUP - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
T3. SHREDDED PORK WITH SALTED CABBAGE NOODLE SOUP - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
T4. SPICY BEAN PASTE NOODLE SOUP - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
T5. BABY BACK RIBS WITH SPINACH NOODLE SOUP - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
T6. RICE NOODLE WITH SHREDDED CHICKEN & VEGETABLE - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
T7. VEGETARIAN COLD NOODLE WITH PEANUT SAUCE - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
T8. NOODLE WITH SCALLION & SESAME OIL - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,10.70
20. SAUTEED SPINACH WITH FRESH GARLIC - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,12.50
21. MA-PAO TOFU - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,12.50
22. CHINESE BLACK MUSHROOM WITH BOK CHOY - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,12.50
23. SHANGHAI TOFU - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,12.50
24. SAUTEED STRING BEANS - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,12.50
25. SAUTEED LOTUS ROOTS WITH SOY PEAS & CHILI PEPPER - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,12.50
26. SAUTEED MORNING GLORY IN SMOKED TEA SAUCE - REGULAR,KATELLA BAKERY & DELI,"LOS ALAMITOS, CA",,14.50
