name,restaurant_name,identifier,calories,price_usd
KIDS 2 PC TENDERS WITH FRIES - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,7.99
GARDEN SALAD - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,7.99
CHICKEN SALAD - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,12.99
GRILLED SHRIMP SALAD - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,14.99
SALMON SALAD - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,15.99
2 PC WHITING - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,11.99
CHEESEBURGER LOADED - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,12.99
TURKEY BURGER LOADED - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,12.99
BEEF BURGER LOADED - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,11.99
FRIED SHRIMP - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,13.99
GEECHEE SHRIMP PO BOY - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,13.99
DOUBLE STUFFED POTATO - VEGGIE,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,12.99
DOUBLE STUFFED POTATO - CHICKEN,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,14.99
VEGGIE PLATE - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,15.99
WHITING DINNER - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,15.99
RIBEYE STEAK - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,17.99
RIBEYE STEAK - WITH ONIONS AND PEPPERS,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,18.99
SURF & TURF - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,27.99
SURF & TURF - WITH ONIONS AND PEPPERS,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,28.99
CHICKEN BREAST - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,13.99
CHICKEN BREAST - WITH ONIONS AND PEPPERS,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,14.99
PORK CHOPS (2) - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,14.99
SHRIMP - GRILLED SHRIMP,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,15.99
SHRIMP - FRIED SHRIMP,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,15.99
SALMON - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,17.99
GREEN SALAD - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,6.00
YELLOW RICE - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,500.00
CUCUMBER SALAD - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,5.00
FRIED OKRA - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,5.00
CORN ON THE COB - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,5.00
FRENCH FRIES - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,3.50
MASH POTATOES - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,5.00
KELZ SOUTHERN COLLARD GREENS - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,5.00
FISH TACO BASKET - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,12.99
CHICKEN TACO BASKET - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,11.99
SHRIMP TACO BASKET - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,13.99
10 PIECE WINGS WITH FRIES - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,11.99
CHICKEN QUESADILLA BASKET - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,13.99
COMBO QUESADILLA BASKET - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,16.99
SHRIMP QUESADILLA BASKET - REGULAR,KELZ KITCHEN,"CHOWNOW, ATLANTA, GA",,14.99
