name,restaurant_name,identifier,calories,price_usd
CHICKEN KATSU SANDWICH - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,11.00
AHI SANDWICH - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,15.00
JAPANESE BURRITO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,12.00
VEGGIE BURRITO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,12.00
LOBSTER BURRITO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,18.00
SOFT SHELL CRAB BURRITO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,13.00
CHICKEN KATSU BOWL - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,8.00
LOCO MOCO BOWL - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,9.00
KENJI BOWL - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,8.00
DEEP FRIED GYOZA (3) - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,5.00
FURIKAKE FRIES - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,4.00
REGULAR FRIES - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,3.00
SUNOMONO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,3.00
TOKYO CHICKEN WINGS (5) - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,6.00
FRUIT PUNCH - SMALL,KENJI BURGER,"CHOWNOW, KAPAA, HI",,1.50
FRUIT PUNCH - LARGE,KENJI BURGER,"CHOWNOW, KAPAA, HI",,2.00
DIET COKE - SMALL,KENJI BURGER,"CHOWNOW, KAPAA, HI",,1.50
DIET COKE - LARGE,KENJI BURGER,"CHOWNOW, KAPAA, HI",,2.00
COKE - SMALL,KENJI BURGER,"CHOWNOW, KAPAA, HI",,1.50
COKE - LARGE,KENJI BURGER,"CHOWNOW, KAPAA, HI",,2.00
SPRITE - SMALL,KENJI BURGER,"CHOWNOW, KAPAA, HI",,1.50
SPRITE - LARGE,KENJI BURGER,"CHOWNOW, KAPAA, HI",,2.00
SWEETENED GREEN TEA - SMALL,KENJI BURGER,"CHOWNOW, KAPAA, HI",,1.50
SWEETENED GREEN TEA - LARGE,KENJI BURGER,"CHOWNOW, KAPAA, HI",,2.00
CHICKEN KATSU SANDWICH BENTO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,15.00
VEGGIE BURGER BENTO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,16.00
KENJI BURGER BENTO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,14.00
HAPA BURGER BENTO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,15.00
TRUFFLE BURGER BENTO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,15.00
AHI SANDWICH BENTO - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,18.00
TRUFFLE BURGER - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,12.00
HAPA BURGER - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,12.00
OLD SKOOL BURGER - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,9.00
KENJI BURGER - REGULAR,KENJI BURGER,"CHOWNOW, KAPAA, HI",,11.00
