name,restaurant_name,identifier,calories,price_usd
POKE BOWL - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,13.85
REGULAR FOUNTAIN DRINK - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,2.29
PELLEGRINO - REGULAR (8.45OZ),KILLER POKE,"BAKERSFIELD, CA",,2.29
PELLEGRINO - LARGE (16.9OZ),KILLER POKE,"BAKERSFIELD, CA",,3.00
COCONUT WATER - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,2.29
STUBBORN SODAS - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,2.29
ARIZONA ICED TEAS - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,1.50
LARGE FOUNTAIN DRINK - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,3.25
FIJI WATER - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,2.29
DASANI WATER - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,1.50
SPARKLING ICE - LEMON LIME,KILLER POKE,"BAKERSFIELD, CA",,2.00
SPARKLING ICE - BLACK CHERRY,KILLER POKE,"BAKERSFIELD, CA",,2.00
SPARKLING ICE - STRAWBERRY WATERMELON,KILLER POKE,"BAKERSFIELD, CA",,2.00
CALAMARI SALAD - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,6.00
SEAWEED SALAD - 8OZ,KILLER POKE,"BAKERSFIELD, CA",,4.00
POKE CUP - REGULAR,KILLER POKE,"BAKERSFIELD, CA",,8.50
KILLER TACOS - 3,KILLER POKE,"BAKERSFIELD, CA",,10.50
KILLER TACOS - 1,KILLER POKE,"BAKERSFIELD, CA",,3.50
