name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,0.00
KENDALL-JACKSON VINTNER'S RESERVE MERLOT - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,9.00
CAKEBREAD CELLARS CHARDONNAY - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,37.50
FAR NIENTE CHARDONNAY - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,60.00
ROBERT MONDAVI CABERNET SAUVIGNON - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,30.00
NICKEL & NICKEL CABERNET SAUVIGNON - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,90.00
KIKUSUI  INCH PERFECT SNOW INCH  NIGORI - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,11.00
MICHINOKU ONIKOROSHI - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,12.50
YUKIKAGE  INCH SNOW SHADOW INCH  TOKUBETSU JUNMAI - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,12.00
SUZAKU  INCH FIRE BIRD INCH  JUNMAI GINJO BY GEKKEIKAN - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,12.50
CUPCAKE LIGHT-HEARTED ROSE - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,10.00
KIM CRAWFORD SAUVIGNON BLANC - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,20.00
PROVERB CHARDONNAY - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,20.00
SYCAMORE LANE WHITE ZINFANDEL - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,20.00
TORRESELLA PINOT GRIGIO - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,25.00
TWO VINES CABERNET SAUVIGNON - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,20.00
AVA GRACE RED BLEND - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,22.00
TRIVENTO MALBEC - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,32.00
NAPA CELLARS MERLOT - 750 ML BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,38.00
ZIPANG MANGO SPARKLING - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,17.00
KIKUSUI KARAKUCHI HONJOZO - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,18.00
HAKKAISAN  INCH EIGHT PEAKS INCH  TOKUBETSU JUNMAI - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,24.00
SUIGEI  INCH DRUNKEN WHALE INCH  TOKUBETSU JUNMAI - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,27.00
HANA SWEET SAKE - LYCHEE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,26.00
HANA SWEET SAKE - FUJI APPLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,26.00
KYOTO BEER WHITE YUZU ALE (BELGIUM WHITE) - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,10.00
KYOTO BEER YAMADANISHIKI ALE (LIGHT ALE) - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,10.00
KYOTO BEER MATCHA IPA - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,10.00
KYOTO BEER KUROMAME - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,10.00
ASAHI BLACK - BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,7.50
SAPPORO PREMIUM BLACK - LARGE CAN,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,10.00
ORION PREMIUM LARGE BEER - LARGE BOTTLE,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,10.00
JINRO 24% - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,15.00
ORIGINAL - JINRO CHAMISUL - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,15.00
CLASSIC JINRO CHAMISUL RETRO - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,15.00
FRESH - JINRO CHAMISUL - REGULAR,KRUNGTHEP TEA TIME,"WINTER PARK, FL",,15.00
