name,restaurant_name,identifier,calories,price_usd
AVOCADO TOAST - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,19.00
BREAKFAST BURRITO - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,16.00
BUILD YOUR OWN OMELETTE - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,15.00
CANDIED BACON AND EGG SANDWICH - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,15.00
CHICKEN BISCUIT - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,14.00
CHILAQUILES - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,17.00
EGG WHITE OMELETTE - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,15.00
BIRTHDAY CAKE WAFFLES - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,14.00
MAPLE GLAZED APPLE FRENCH TOAST - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,14.00
2 EGGS ANY STYLE - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,4.00
BACON - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,4.00
HOUSE HASH - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,5.00
HOUSEMADE BISCUIT - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,3.00
SAUSAGE - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,4.00
SEASONAL FRUIT - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,4.00
SIDE SALAD - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,5.00
WHEAT TOAST - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,3.00
WHITE TOAST - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,3.00
EGGS BENEDICT - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
ROSEMARY’S TATER BRUNCH PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
ABE FROMAN'S FAVE PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
AL PAS-THOR - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,24.00
ALL CAPS - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
AUNT CHILADA'S CHICKEN PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,24.00
BEEFER SUTHERLAND PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,24.00
BRUSSEL SHUFFLE PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
BUILD YOUR OWN PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,16.00
BURRATA BE KIDDING ME PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,25.00
CHEESEBURGER IN PIZZA SLICE PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,24.00
"CHEESSUS, MARY & JOSEPH PIZZA - REGULAR",LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
GREAT BALLS OF FIRE PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,24.00
HONEY BOO BOO - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
HOW STRACCIATELLA GOT HER GROOVE BACK - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,25.00
I FEEL LIKE BACON LOVE PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,24.00
LITTLE STINKER PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,23.00
MAKE ME CORNY - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
MARGHERITA PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,18.00
SAVE THE LAST RANCH PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,24.00
SGT. PEPPER PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
HOT CHIX PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,24.00
PEST-O CHANGE-O PIZZA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
TEDY BRUSCHETTA - REGULAR,LA FIEBRE DEL SABOR CRIOLLO TAMPA FL,"TAMPA, FL",,22.00
