name,restaurant_name,identifier,calories,price_usd
TACO SALAD - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
CHICKEN SALAD - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
CHICKEN SOUP - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
VEGETABLE SOUP - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
FAJITA TACO SALAD - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
CHORI-POLLO - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
CHORI QUESO - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
BEAN DIP - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,6.99
GUACAMOLE DIP - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,4.99
QUESO CHIPOTLE DIP - SMALL,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,4.99
QUESO CHIPOTLE DIP - LARGE,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
HACIENDA DIP - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
CHEESE DIP - SMALL,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,4.99
CHEESE DIP - LARGE,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
CHEESE DIP WITH BEEF - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
TEXAS NACHOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,9.99
TEXAS NACHOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,11.99
SUPER NACHOS HACIENDA - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,11.99
NACHOS FAJITAS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
NACHOS FAJITAS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
NACHOS LOCOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
NACHOS LOCOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
SHRIMP FAJITA NACHOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
SHRIMP FAJITA NACHOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
SHRIMP NACHOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
SHRIMP NACHOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
PORK NACHOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
PORK NACHOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
NACHOS STEAK OR GRILLED CHICKEN - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
NACHOS STEAK OR GRILLED CHICKEN - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
SUPREME NACHOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
SUPREME NACHOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,10.99
NACHOS CHORIZO - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,7.99
NACHOS CHORIZO - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,9.99
BEEF AND BEAN NACHOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,7.99
BEEF AND BEAN NACHOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
CHICKEN NACHOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,7.99
CHICKEN NACHOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,9.99
BEAN NACHOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,5.99
BEAN NACHOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,7.99
BEEF NACHOS - 1/2 ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,6.99
BEEF NACHOS - FULL ORDER,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,8.99
QUESADILLA HACIENDA - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,12.99
SEAFOOD QUESADILLA - REGULAR,LA HACIENDA #12,"CHOWNOW, INDIANAPOLIS, IN",,14.99
