name,restaurant_name,identifier,calories,price_usd
CHICKEN & BROCCOLI CALZONE - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,8.00
SPINACH CALZONE - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,7.25
VEGGIE CALZONE - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,8.25
PEPPERONI CALZONE - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,7.25
CHEESE CALZONE - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,6.50
SUPREME CALZONE - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,8.75
PHILLY STEAK CALZONE - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,8.75
BUFFALO CHICKEN CALZONE - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,8.75
MEAT DELUXE CALZONE - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,8.75
13 INCH CHEESE PIZZA - LARGE,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,10.00
10 INCH CHEESE PIZZA - SMALL 10 INCH,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,7.00
16 INCH CHEESE PIZZA - XLARGE,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,12.50
18 INCH CHEESE PIZZA - REGULAR,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,14.00
HALF BACON CHEESEBURGER & HALF BUILD YOUR OWN 13 INCH - MEDIUM,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,12.99
HALF BBQ CHICKEN & HALF BUILD YOUR OWN 13 INCH - MEDIUM,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,12.99
HALF GREEK PIZZA & HALF BUILD YOUR OWN - MEDIUM,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,14.99
HALF HAWAIIAN & HALF BUILD YOUR OWN - MEDIUM,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,11.99
HALF MEAT LOVERS CHEESEBURGER & HALF BUILD YOUR OWN - MEDIUM,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,15.99
HALF PHILLY STEAK & HALF BUILD YOUR OWN - MEDIUM,LA ROMA PIZZA,"CHOWNOW, GARNER, NC",,14.99
