name,restaurant_name,identifier,calories,price_usd
ICED BLUEBERRY CRISP LATTE - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.25
ICED BLUEBERRY CRISP LATTE - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.75
ICED PEACH COBBLER LATTE - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.25
ICED PEACH COBBLER LATTE - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.75
PINK PEAR - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.75
PINK PEAR - 20OZ,LA SALSA,"SANTA BARBARA, CA",,6.25
MOON DROP - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.50
MOON DROP - 20OZ,LA SALSA,"SANTA BARBARA, CA",,6.00
1/2 SUMMER MOON LATTE - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.50
1/2 SUMMER MOON LATTE - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.00
1/2 SUMMER MOON LATTE - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.50
1/4 SUMMER MOON LATTE - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.50
1/4 SUMMER MOON LATTE - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.00
1/4 SUMMER MOON LATTE - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.50
1/8 SUMMER MOON LATTE (WHISPER MOON) - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.50
1/8 SUMMER MOON LATTE (WHISPER MOON) - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.00
1/8 SUMMER MOON LATTE (WHISPER MOON) - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.50
3/4 SUMMER MOON LATTE - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.50
3/4 SUMMER MOON LATTE - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.00
3/4 SUMMER MOON LATTE - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.50
AMERICANO - 12OZ,LA SALSA,"SANTA BARBARA, CA",,3.00
AMERICANO - 16OZ,LA SALSA,"SANTA BARBARA, CA",,3.50
AMERICANO - 20OZ,LA SALSA,"SANTA BARBARA, CA",,4.00
BLUE MOON LATTE - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.75
BLUE MOON LATTE - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.25
BLUE MOON LATTE - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.75
CAFE LATTE - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.00
CAFE LATTE - 16OZ,LA SALSA,"SANTA BARBARA, CA",,4.50
CAFE LATTE - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.00
CAPPUCCINO - 8OZ,LA SALSA,"SANTA BARBARA, CA",,4.00
CHAI LATTE - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.00
CHAI LATTE - 16OZ,LA SALSA,"SANTA BARBARA, CA",,4.50
CHAI LATTE - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.00
BLUEBERRY CRISP LATTE (HOT) - LIMITED EDITION - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.75
BLUEBERRY CRISP LATTE (HOT) - LIMITED EDITION - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.25
BLUEBERRY CRISP LATTE (HOT) - LIMITED EDITION - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.75
PEACH COBBLER LATTE (HOT) - LIMITED EDITION - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.75
PEACH COBBLER LATTE (HOT) - LIMITED EDITION - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.25
PEACH COBBLER LATTE (HOT) - LIMITED EDITION - 20OZ,LA SALSA,"SANTA BARBARA, CA",,5.75
CINNAMOON LATTE - 12OZ,LA SALSA,"SANTA BARBARA, CA",,4.75
CINNAMOON LATTE - 16OZ,LA SALSA,"SANTA BARBARA, CA",,5.25
