name,restaurant_name,identifier,calories,price_usd
BUTTERMILK DEBRIS - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,10.00
BRUNCH BOWL - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,10.00
CHICKEN & BISCUITS - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,10.00
RED EYE - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,10.00
EGG PLATE - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
MIGAS BISCUIT - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
CHEESEBURGER BISCUIT - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
CHICKEN HONEY BISCUIT - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
B.E.C. BISCUIT - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,8.00
AVO & EGG BISCUIT - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,7.00
S.E.C BISCUIT - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
CHICKEN BACON RANCH - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
PASEO BURGER - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
HOT CHICKEN - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
SMOOTHIE BOWL - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,10.00
LEAN GREEN - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,7.00
BUTTERMILK SALAD - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,6.00
VERY BERRY SMOOTHIE - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,7.00
SUPERFOOD OATS - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,7.00
BRULEED GRAPEFRUIT - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,7.00
KIDS PLATE - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,5.00
PB&J - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,5.00
BREAKFAST BURRITO - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,5.00
BREAKFAST SAUSAGE - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,5.00
GRAVY - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,3.00
THICK CUT BACON - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,4.00
PUT AN EGG ON IT - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,2.00
CHICKEN TENDERS - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,5.00
HASH BROWN BITES - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,4.00
BUTTERMILK BISCUIT - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,3.00
S'MORES - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,8.00
STRAWBERRY SHORTCAKE - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
BISCUIT FRENCH TOAST - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,9.00
BONUTS - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,7.00
MAINE ROOT SODA - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,3.00
MILK - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,3.00
ORANGE JUICE - REGULAR,LA UNICA,"CHOWNOW, MOORESVILLE, NC",,3.00
