name,restaurant_name,identifier,calories,price_usd
CHIPOTLE SHRIMP SALAD - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,10.29
CHILE LIME SALAD - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,9.89
TACO SALAD - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.79
MEXICO CITY TACOS - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,10.99
TACOS LA SALSA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.99
CARNITAS GUADALAJARA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,8.29
BAJA STYLE SHRIMP - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,9.49
BAJA GRILLED FISH - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,9.49
OVERSTUFFED GRILLED BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,9.29
NO RICE NO BEANS BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,9.19
GRANDE BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,8.99
ORIGINAL GOURMET BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.99
CALIFORNIA BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.99
LOS CABOS SHRIMP BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,9.99
BEAN & CHEESE BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,6.19
VERACRUZ BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,11.49
GREEN CHILE BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,10.09
TWO SOFT TACOS LA SALSA PLATTER - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,9.89
TAQUITOS & QUESADILLA PLATTER - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,10.19
CHICKEN & AVOCADO ENCHILADA PLATTER - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,10.59
ENCHILADA PLATTER - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,8.09
THREE PEPPER FAJITA PLATTER - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,11.69
FIRE-ROASTED BOWL - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,9.99
CLASSIC QUESADILLA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.49
STUFFED FAJITA QUESADILLA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,9.99
NACHOS - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.99
CHICKEN TAQUITOS - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.99
CHICKEN TORTILLA SOUP - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,5.99
KID'S QUESADILLA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.39
KID'S BEAN & CHEESE BURRITO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.39
TACO LA SALSA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,4.49
BAJA STYLE SHRIMP TACO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,5.39
BEANS - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,2.79
RICE - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,2.79
CHIPS & SALSA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,3.99
"CHIPS, SALSA & GUACAMOLE - REGULAR",LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,6.29
CHURRO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,2.59
BAJA GRILLED FISH TACO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,5.39
SOFT DRINK - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,2.19
BOTTLED WATER - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,2.99
PREMIUM BOTTLED WATER - SMALL,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,2.69
PREMIUM BOTTLED WATER - MEDIUM,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,2.99
PREMIUM BOTTLED WATER - LARGE,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,3.59
TACO FIESTA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,16.49
FAJITA FIESTA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,16.49
VEGGIE FIESTA - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,13.99
MEXICANA BUFFET - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,13.49
FIESTA GRANDE - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,14.99
FRESH FRUIT TRAY - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,36.99
BREAKFAST BURRITO-CHORIZO - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.99
BREAKFAST BURRITO-VEGGIE - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,7.39
BREAKFAST BURRITO-CHICKEN - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,8.49
BREAKFAST BURRITO-STEAK - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,8.99
BURRITO GRANDE TRAY - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,52.99
TACO GRANDE TRAY - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,49.99
TAQUITO GRANDE TRAY - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,32.99
CHILE-LIME SALAD - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,24.99
ENCHILADAS - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,24.99
QUESADILLAS - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,36.99
TAQUITOS - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,14.99
SAMPLER PLATTER TRAY - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,42.99
LA SALASA SAMPLER TRAY - REGULAR,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,64.99
SOUR CREAM - SERVES 6-8,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,10.99
SOUR CREAM - SERVES 12-16,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,16.99
GUACAMOLE - SERVES 6-8,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,16.99
GUACAMOLE - SERVES 12-16,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,29.99
BEANS - SERVES 6-8,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,4.99
BEANS - SERVES 12-16,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,8.99
CHURROS - SERVES 6-8,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,19.99
CHURROS - SERVES 12-16,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,35.99
SALSA - SERVES 6-8,LA SALA FRESH MEXICAN GRILL,"SAN LEANDRO, CA",,8.99
