name,restaurant_name,identifier,calories,price_usd
GARDEN VEGETABLE SOUP - 8 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,3.50
GARDEN VEGETABLE SOUP - 16 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
LOADED POTATO SOUP - 8 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,3.50
LOADED POTATO SOUP - 16 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
TOMATO BASIL SOUP - 8 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,3.50
TOMATO BASIL SOUP - 16 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
CHICKEN NOODLE SOUP - 8 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,3.50
CHICKEN NOODLE SOUP - 16 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
BROCCOLI CHEDDAR SOUP - 8 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,3.50
BROCCOLI CHEDDAR SOUP - 16 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
BUFFALO CHICKEN SOUP - 8 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,3.85
BUFFALO CHICKEN SOUP - 16 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,5.95
SHE CRAB SOUP - 8 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,3.85
SHE CRAB SOUP - 16 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,5.95
TURKEY CHILI - 8 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,3.85
TURKEY CHILI - 16 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,5.95
GREEK LEMON CHICKEN SOUP - 8 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,3.50
GREEK LEMON CHICKEN SOUP - 16 OZ.,LADLES,"CHOWNOW, FORT MILL, SC",,5.60
CHICKEN SALAD OVER MIXED GREENS - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,8.95
CHICKEN SALAD OVER MIXED GREENS - LARGE,LADLES,"CHOWNOW, FORT MILL, SC",,10.95
GARDEN SALAD - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
GARDEN SALAD - LARGE,LADLES,"CHOWNOW, FORT MILL, SC",,9.95
TOMATO MOZZARELLA SALAD - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
TOMATO MOZZARELLA SALAD - LARGE,LADLES,"CHOWNOW, FORT MILL, SC",,9.95
GRILLED FRUIT SALAD - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,9.95
GRILLED FRUIT SALAD - LARGE,LADLES,"CHOWNOW, FORT MILL, SC",,11.95
CAESAR SALAD - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
CAESAR SALAD - LARGE,LADLES,"CHOWNOW, FORT MILL, SC",,9.95
PEAR & WALNUT SALAD - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,9.95
PEAR & WALNUT SALAD - LARGE,LADLES,"CHOWNOW, FORT MILL, SC",,11.95
RED BEET & GOAT CHEESE SALAD - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,9.95
RED BEET & GOAT CHEESE SALAD - LARGE,LADLES,"CHOWNOW, FORT MILL, SC",,11.95
GREEN APPLE & GOAT CHEESE SALAD - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,9.95
GREEN APPLE & GOAT CHEESE SALAD - LARGE,LADLES,"CHOWNOW, FORT MILL, SC",,11.95
TUNA SALAD OVER MIXED GREENS - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,8.95
TUNA SALAD OVER MIXED GREENS - LARGE,LADLES,"CHOWNOW, FORT MILL, SC",,10.95
EGG SALAD SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
EGG SALAD SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
CAPRESE SUB - HALF SUB,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
CAPRESE SUB - FULL SUB,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
PIMENTO CHEESE SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
PIMENTO CHEESE SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
HERB CREAM CHEESE & VEGGIE SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
HERB CREAM CHEESE & VEGGIE SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
HAM & CHEESE SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
HAM & CHEESE SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
AMERICAN GRILLED CHEESE SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
AMERICAN GRILLED CHEESE SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
LADLES GRILLED CHEESE SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
LADLES GRILLED CHEESE SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
TURKEY REUBEN - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
TURKEY REUBEN - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
TURKEY BACON GRILLER SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,10.90
TURKEY BACON GRILLER SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,13.90
CHICKEN SALAD SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
CHICKEN SALAD SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
TUNA SALAD SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
TUNA SALAD SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
BLT ON PRETZEL - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
BLT ON PRETZEL - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,7.95
BARON VON LADLES SANDWICH - HALF SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,6.90
BARON VON LADLES SANDWICH - FULL SANDWICH,LADLES,"CHOWNOW, FORT MILL, SC",,9.90
1/2 SANDWICH & SOUP - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,9.95
1/2 GRILLED CHEESE SANDWICH & SOUP | KIDS - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
GRILLED CHEESE SANDWICH WITH CHIPS | KIDS - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,4.95
HOT DOG WITH CHIPS | KIDS - REGULAR,LADLES,"CHOWNOW, FORT MILL, SC",,3.95
