name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,0.00
RAYS ORIGINAL GLAZED DONUT - SINGLE,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,1.39
RAYS ORIGINAL GLAZED DONUT - TWO,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,2.78
RAYS ORIGINAL GLAZED DONUT - THREE,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,4.17
RAYS ORIGINAL GLAZED DONUT - FOUR,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,5.56
RAYS ORIGINAL GLAZED DONUT - FIVE,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,6.95
RAYS ORIGINAL GLAZED DONUT - 1/2 DOZEN,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,7.69
RAYS ORIGINAL GLAZED DONUT - DOZEN,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,13.99
RAYS ORIGINAL CHOCOLATE GLAZED DONUT - SINGLE,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,1.39
RAYS ORIGINAL CHOCOLATE GLAZED DONUT - TWO,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,2.78
RAYS ORIGINAL CHOCOLATE GLAZED DONUT - THREE,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,4.17
RAYS ORIGINAL CHOCOLATE GLAZED DONUT - FOUR,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,5.56
RAYS ORIGINAL CHOCOLATE GLAZED DONUT - FIVE,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,6.95
RAYS ORIGINAL CHOCOLATE GLAZED DONUT - 1/2 DOZEN,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,7.69
RAYS ORIGINAL CHOCOLATE GLAZED DONUT - DOZEN,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,13.99
RAYS ORIGINAL CHOC. ICED (ROUND JOHN) - SINGLE,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,1.39
RAYS ORIGINAL CHOC. ICED (ROUND JOHN) - TWO,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,2.78
RAYS ORIGINAL CHOC. ICED (ROUND JOHN) - THREE,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,4.17
RAYS ORIGINAL CHOC. ICED (ROUND JOHN) - FOUR,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,5.56
RAYS ORIGINAL CHOC. ICED (ROUND JOHN) - FIVE,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,6.95
RAYS ORIGINAL CHOC. ICED (ROUND JOHN) - 1/2 DOZEN,LAMAR'S DONUTS AND COFFEE,"CHOWNOW, BLUE SPRINGS, MO",,7.69
