name,restaurant_name,identifier,calories,price_usd
A1 SHRIMP & PORK SPRING ROLLS | GOI CUON TOM THIT - REGULAR,LE BON,"SUNNYVALE, CA",,5.45
A2 GRILLED PORK OR BEEF SPRING ROLLS | GOI CUON THIT NUONG - REGULAR,LE BON,"SUNNYVALE, CA",,5.75
A3 GRILLED SHRIMP & PORK SPRING ROLLS | GOI CUON TOM NUONG HEO NUONG - REGULAR,LE BON,"SUNNYVALE, CA",,6.45
A4 GRILLED SHRIMP & KOBE BEEF SPRING ROLLS | GOI CUON TOM NUONG BO KOBE - REGULAR,LE BON,"SUNNYVALE, CA",,7.45
A5 SHRIMP & AVOCADO SPRING ROLLS | GOI CUON TOM BO - REGULAR,LE BON,"SUNNYVALE, CA",,6.75
A6 SEASONED PORK’S SKIN SPRING ROLLS | BI CUON - REGULAR,LE BON,"SUNNYVALE, CA",,5.75
A7 SALMON SPRING ROLLS | GOI CUON CA HOI - REGULAR,LE BON,"SUNNYVALE, CA",,6.75
A8 VIETNAMESE PORK EGG ROLLS | CHA GOI - REGULAR,LE BON,"SUNNYVALE, CA",,9.45
"A9 OX TAILS AND MEATBALL SOUP | SUP DOUI BO, BO VIEN - REGULAR",LE BON,"SUNNYVALE, CA",,7.45
A10 WONTONS & SHRIMPS SOUP | SUP HOANH THANH - REGULAR,LE BON,"SUNNYVALE, CA",,7.45
A11 GRILLED PORK SKEWERS | THIT NUONG XIEN - REGULAR,LE BON,"SUNNYVALE, CA",,6.00
A12 SHRIMP ROLLS | TOM CUON CHIEN - REGULAR,LE BON,"SUNNYVALE, CA",,7.45
A13 PAN FRIED DUMPLINGS | HA CAO CHIEN - REGULAR,LE BON,"SUNNYVALE, CA",,8.45
A14 CRAB CHEESE WONTONS | HOANH THANH PHO MAI - REGULAR,LE BON,"SUNNYVALE, CA",,6.45
A15 FRIED CHICKEN WINGS WITH FISH SAUCE | CANH GA CHIEN NUOC MAM - REGULAR,LE BON,"SUNNYVALE, CA",,8.75
A16 PAN-FRIED EGG RICE CAKE | BOT CHIEN - REGULAR,LE BON,"SUNNYVALE, CA",,10.75
A17 KOREAN SHORT RIBS | SUON BO DAI HAN - REGULAR,LE BON,"SUNNYVALE, CA",,11.45
A18 NOW PHO CLASSIC COMBO - REGULAR,LE BON,"SUNNYVALE, CA",,15.45
A19 NOW PHO SIGNATURE SAMPLER - REGULAR,LE BON,"SUNNYVALE, CA",,17.45
P1 MEATBALLS | PHO BO VIEN - SMALL,LE BON,"SUNNYVALE, CA",,9.45
P1 MEATBALLS | PHO BO VIEN - MEDIUM,LE BON,"SUNNYVALE, CA",,10.45
P1 MEATBALLS | PHO BO VIEN - LARGE,LE BON,"SUNNYVALE, CA",,11.95
P2 RARE STEAK | PHO TAI - SMALL,LE BON,"SUNNYVALE, CA",,9.45
P2 RARE STEAK | PHO TAI - MEDIUM,LE BON,"SUNNYVALE, CA",,10.45
P2 RARE STEAK | PHO TAI - LARGE,LE BON,"SUNNYVALE, CA",,11.45
"P3 RARE STEAK & TENDON | PHO TAI, GAN - SMALL",LE BON,"SUNNYVALE, CA",,9.45
"P3 RARE STEAK & TENDON | PHO TAI, GAN - MEDIUM",LE BON,"SUNNYVALE, CA",,10.45
"P3 RARE STEAK & TENDON | PHO TAI, GAN - LARGE",LE BON,"SUNNYVALE, CA",,11.45
"P4 RARE STEAK & TRIPE | PHO TAI, SACH - SMALL",LE BON,"SUNNYVALE, CA",,9.45
"P4 RARE STEAK & TRIPE | PHO TAI, SACH - MEDIUM",LE BON,"SUNNYVALE, CA",,10.45
"P4 RARE STEAK & TRIPE | PHO TAI, SACH - LARGE",LE BON,"SUNNYVALE, CA",,11.45
"P5 RARE STEAK, TENDON & TRIPE | PHO TAI, GAN SACH - SMALL",LE BON,"SUNNYVALE, CA",,9.45
"P5 RARE STEAK, TENDON & TRIPE | PHO TAI, GAN SACH - MEDIUM",LE BON,"SUNNYVALE, CA",,10.45
"P5 RARE STEAK, TENDON & TRIPE | PHO TAI, GAN SACH - LARGE",LE BON,"SUNNYVALE, CA",,11.45
"P6 RARE STEAK & BRISKET | PHO TAI, CHIN - SMALL",LE BON,"SUNNYVALE, CA",,9.45
"P6 RARE STEAK & BRISKET | PHO TAI, CHIN - MEDIUM",LE BON,"SUNNYVALE, CA",,10.45
"P6 RARE STEAK & BRISKET | PHO TAI, CHIN - LARGE",LE BON,"SUNNYVALE, CA",,11.45
"P7 RARE STEAK & FLANK | PHO TAI, NAM - SMALL",LE BON,"SUNNYVALE, CA",,9.45
"P7 RARE STEAK & FLANK | PHO TAI, NAM - MEDIUM",LE BON,"SUNNYVALE, CA",,10.45
"P7 RARE STEAK & FLANK | PHO TAI, NAM - LARGE",LE BON,"SUNNYVALE, CA",,11.45
"P8 RARE STEAK, BRISKET & FLANK | PHO TAI, CHIN, NAM - SMALL",LE BON,"SUNNYVALE, CA",,9.45
"P8 RARE STEAK, BRISKET & FLANK | PHO TAI, CHIN, NAM - MEDIUM",LE BON,"SUNNYVALE, CA",,10.45
