name,restaurant_name,identifier,calories,price_usd
CAPRESE SANDWICH - REGULAR,LET IT BRIE,"FULLERTON, CA",,10.00
PB & J - REGULAR,LET IT BRIE,"FULLERTON, CA",,5.00
SIGNATURE SANDWICH - REGULAR,LET IT BRIE,"FULLERTON, CA",,12.00
GRILLED CHEESE - REGULAR,LET IT BRIE,"FULLERTON, CA",,8.00
ADULT PB & J - REGULAR,LET IT BRIE,"FULLERTON, CA",,6.00
THE GOAT - REGULAR,LET IT BRIE,"FULLERTON, CA",,13.00
ARCHIE - REGULAR,LET IT BRIE,"FULLERTON, CA",,12.00
HONEY BERRY JAM'BRIE - REGULAR,LET IT BRIE,"FULLERTON, CA",,12.00
ANTIPASTO - REGULAR,LET IT BRIE,"FULLERTON, CA",,10.00
HARVEST SALAD - REGULAR,LET IT BRIE,"FULLERTON, CA",,12.00
CAPRESE SALAD - REGULAR,LET IT BRIE,"FULLERTON, CA",,8.00
SIGNATURE SIDE SALAD - REGULAR,LET IT BRIE,"FULLERTON, CA",,3.00
NUTTY BITES - REGULAR,LET IT BRIE,"FULLERTON, CA",,8.00
GOAT BITES - REGULAR,LET IT BRIE,"FULLERTON, CA",,8.00
CAPRESE BITES - REGULAR,LET IT BRIE,"FULLERTON, CA",,8.00
BAKED BRIE BITES - REGULAR,LET IT BRIE,"FULLERTON, CA",,8.00
BAKED BRIE - TAKE N BAKE - REGULAR,LET IT BRIE,"FULLERTON, CA",,15.00
SPARKLING WATER - REGULAR,LET IT BRIE,"FULLERTON, CA",,2.50
COKE - REGULAR,LET IT BRIE,"FULLERTON, CA",,2.50
DIET COKE - REGULAR,LET IT BRIE,"FULLERTON, CA",,2.00
ICE TEA - REGULAR,LET IT BRIE,"FULLERTON, CA",,2.00
SPRITE - REGULAR,LET IT BRIE,"FULLERTON, CA",,2.50
LEMONADE - REGULAR,LET IT BRIE,"FULLERTON, CA",,2.00
MONGER'S FAVORITE - REGULAR,LET IT BRIE,"FULLERTON, CA",,35.00
TRAIL BLAZER - REGULAR,LET IT BRIE,"FULLERTON, CA",,40.00
GOLDILOCKS - REGULAR,LET IT BRIE,"FULLERTON, CA",,30.00
BUILD YOUR OWN BOARD - REGULAR,LET IT BRIE,"FULLERTON, CA",,15.00
CONNOISSEUR - REGULAR,LET IT BRIE,"FULLERTON, CA",,40.00
EXTROVERT PLATTER - (2) 15.75 INCH  X 15.75 INCH  WOOD BOARDS - REGULAR,LET IT BRIE,"FULLERTON, CA",,240.00
ON THE FENCE PLATTER - (1) 21 INCH  X 14 INCH  WOOD BOARD - REGULAR,LET IT BRIE,"FULLERTON, CA",,160.00
INTROVERT PLATTER - (1) 15.75 INCH  X 15.75 INCH  WOOD BOARD - REGULAR,LET IT BRIE,"FULLERTON, CA",,80.00
