name,restaurant_name,identifier,calories,price_usd
PORK SOUP DUMPLING - REGULAR,LET IT BRIE,"FULLERTON, CA",,10.00
CHICKEN SOUP DUMPLINGS WITH DUNGENESS CRAB MEAT - REGULAR,LET IT BRIE,"FULLERTON, CA",,12.00
PORK SOUP DUMPLING WITH DUNGENESS CRAB - REGULAR,LET IT BRIE,"FULLERTON, CA",,12.00
STEAMED PORK DUMPLING - REGULAR,LET IT BRIE,"FULLERTON, CA",,9.00
PAN FRIED PORK DUMPLING - REGULAR,LET IT BRIE,"FULLERTON, CA",,10.00
PAN FRIED PORK & SHRIMP DUMPLING - REGULAR,LET IT BRIE,"FULLERTON, CA",,11.00
TRUFFLE PORK SOUP DUMPLING - REGULAR,LET IT BRIE,"FULLERTON, CA",,15.50
PAN FRIED VEGAN DUMPLING - REGULAR,LET IT BRIE,"FULLERTON, CA",,11.00
STEAMED VEGAN DUMPLING - REGULAR,LET IT BRIE,"FULLERTON, CA",,10.00
BOILED PORK CHIVE AND SHRIMP DUMPLING - REGULAR,LET IT BRIE,"FULLERTON, CA",,11.00
SPICY PORK WONTON - REGULAR,LET IT BRIE,"FULLERTON, CA",,8.00
VEGAN CHILI WONTON - REGULAR,LET IT BRIE,"FULLERTON, CA",,10.00
PAN FRIED VEGAN BUN - REGULAR,LET IT BRIE,"FULLERTON, CA",,9.00
POPCORN CHICKEN - REGULAR,LET IT BRIE,"FULLERTON, CA",,11.00
PAN FRIED PORK BUN - REGULAR,LET IT BRIE,"FULLERTON, CA",,8.00
SCALLION PANCAKE - REGULAR,LET IT BRIE,"FULLERTON, CA",,6.00
CHICKEN & SHRIMP SHU MAI - REGULAR,LET IT BRIE,"FULLERTON, CA",,6.00
CRISPY BEEF ROLL - REGULAR,LET IT BRIE,"FULLERTON, CA",,10.50
CHILI TOFU - REGULAR,LET IT BRIE,"FULLERTON, CA",,11.00
FRIED RICE - REGULAR,LET IT BRIE,"FULLERTON, CA",,10.00
SPICY CARAMEL CHICKEN - REGULAR,LET IT BRIE,"FULLERTON, CA",,13.95
SOY BRAISED PORK RICE - REGULAR,LET IT BRIE,"FULLERTON, CA",,11.00
CHOW MEIN - REGULAR,LET IT BRIE,"FULLERTON, CA",,11.00
SESAME NOODLES - REGULAR,LET IT BRIE,"FULLERTON, CA",,10.00
BROCCOLI - REGULAR,LET IT BRIE,"FULLERTON, CA",,9.00
GREEN BEANS - REGULAR,LET IT BRIE,"FULLERTON, CA",,9.00
HERBAL TEA CANNED - REGULAR,LET IT BRIE,"FULLERTON, CA",,3.00
HONG KONG MILK TEA - REGULAR,LET IT BRIE,"FULLERTON, CA",,3.50
CANNED SODA - COKE,LET IT BRIE,"FULLERTON, CA",,2.00
CANNED SODA - DIET COKE,LET IT BRIE,"FULLERTON, CA",,2.00
CANNED SODA - 7UP,LET IT BRIE,"FULLERTON, CA",,2.00
CANNED SODA - GINGER ALE,LET IT BRIE,"FULLERTON, CA",,2.00
EXTRA SAUCES AND CONDIMENTS - EXTRA BLACK VINEGAR,LET IT BRIE,"FULLERTON, CA",,0.25
EXTRA SAUCES AND CONDIMENTS - EXTRA SOY SAUCE,LET IT BRIE,"FULLERTON, CA",,0.25
EXTRA SAUCES AND CONDIMENTS - SOY SAUCE PACKETS,LET IT BRIE,"FULLERTON, CA",,0.25
EXTRA SAUCES AND CONDIMENTS - SIRACHA PACKETS,LET IT BRIE,"FULLERTON, CA",,0.25
EXTRA SAUCES AND CONDIMENTS - CHILI OIL,LET IT BRIE,"FULLERTON, CA",,0.50
EXTRA SAUCES AND CONDIMENTS - SAMBAL CHILI PASTE,LET IT BRIE,"FULLERTON, CA",,0.25
FROZEN CHICKEN AND CHIVE DUMPLINGS - REGULAR,LET IT BRIE,"FULLERTON, CA",,20.00
FROZEN PORK WONTON WITH CHILI SAUCE - REGULAR,LET IT BRIE,"FULLERTON, CA",,20.00
