name,restaurant_name,identifier,calories,price_usd
THE PARTY BOX - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,44.99
THE FAMILY BOX - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,34.99
DUO COMBO - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,9.99
TRIO COMBO - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,12.99
CHICKEN WINGS - 6 PIECES,LIMON URBAN KITCHEN,"PHOENIX, AZ",,6.99
CHICKEN WINGS - 12 PIECES,LIMON URBAN KITCHEN,"PHOENIX, AZ",,11.99
CHICKEN WINGS - 24 PIECES,LIMON URBAN KITCHEN,"PHOENIX, AZ",,19.99
CRISPY CHICKEN STRIPS - 4 STRIPS,LIMON URBAN KITCHEN,"PHOENIX, AZ",,6.99
LARGE SALAD - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,6.99
LARGE SALAD WITH CHICKEN - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,8.99
DR PEPPER - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,2.97
DIET COKE - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,2.79
COKE - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,2.79
SPRITE - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,2.97
UNSWEETENED TEA - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,2.97
BURGERIM FRIES - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,2.99
ONION RINGS - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,3.79
SWEET POTATO FRIES - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,3.79
DUO BURGER - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,6.99
HALF & HALF - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,3.79
TRIO BURGER - REGULAR,LIMON URBAN KITCHEN,"PHOENIX, AZ",,9.99
