name,restaurant_name,identifier,calories,price_usd
THE FIREBIRD SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
TURKEY CLUB SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
THE ITALIAN SUB - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,8.49
TUNA SALAD WRAP - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.99
HAM & SWISS SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
CRANBERRY WALNUT CHICKEN SALAD WRAP - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
TURKEY COBB WRAP - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.99
MAYFLOWER WRAP - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
HUMMUS & VEGGIE WRAP - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,6.99
THE BULLDOG SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
THE FULL MONTY SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,8.49
BUFFALO BLUE WRAP - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
MEATBALL SUB - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
ALL DAY BREAKFAST SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,3.49
TURKEY SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
HAM SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
CHICKEN SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.49
ROAST BEEF SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.99
STOREMADE TUNA SALAD SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.99
STOREMADE CHICKEN SALAD SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.99
CRANBERRY CHICKEN SALAD SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,7.99
VEGGIE SANDWICH - REGULAR,LIN'S ASIAN BISTRO,"LOUGHMAN, FL",,6.49
