name,restaurant_name,identifier,calories,price_usd
MOZZARELLA STICKS - 5 PIECES,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.75
MOZZARELLA STICKS - 9 PIECES,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.25
JALAPENO POPPERS - 5 PIECES,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.75
JALAPENO POPPERS - 9 PIECES,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.25
BATTERED MUSHROOMS - 5 PIECES,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.75
BATTERED MUSHROOMS - 9 PIECES,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.25
SWEET POTATO FRIES - SMALL,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,3.75
SWEET POTATO FRIES - LARGE,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.25
ONION RINGS - SMALL,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,3.75
ONION RINGS - LARGE,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.25
GARLIC BREAD WITH CHEESE - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,4.25
GARLIC KNOTS (4) - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,1.75
SAMPLER PLATTER - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,10.99
CURLY FRIES - SMALL,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,3.25
CURLY FRIES - LARGE,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,4.75
PIZZA LOGS - 5,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,6.50
PIZZA LOGS - 10,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,13.00
BROCCOLI & CHEDDAR BITES - 5 PIECES,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.75
BROCCOLI & CHEDDAR BITES - 9 PIECES,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.25
STEAK FRIES - SMALL,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,3.25
STEAK FRIES - LARGE,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,4.25
CHICKEN TENDERS - 4 PIECE,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,6.50
CHICKEN TENDERS - 8 PIECE,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,10.50
GIAVANO'S ORIGINAL BONELESS STYLE TENDERS - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.99
BONELESS WINGS - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.99
CHICKEN NUGGETS - 6 PIECE,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,2.99
CHICKEN NUGGETS - 12 PIECE,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.49
BUFFALO WINGS - 6 WINGS,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,7.00
BUFFALO WINGS - 12 WINGS,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,12.25
BUFFALO WINGS - 20 WINGS,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,21.50
BUFFALO WINGS - 30 WINGS,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,32.00
BUFFALO WINGS - 40 WINGS,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,43.00
BUFFALO WINGS - 50 WINGS,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,55.00
GARDEN SALAD - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,7.30
CHEF SALAD - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.35
CRISPY CHICKEN SALAD - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.35
BUFFALO CHICKEN SALAD - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.35
GRILLED CHICKEN CAESAR SALAD - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.35
CAESAR SALAD - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,7.30
ANTIPASTO SALAD - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.35
GREEK SALAD - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.35
CLUB SANDWICH - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.50
"ROAST BEEF SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.99
"ROAST BEEF SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.50
"TURKEY BACON SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.99
"TURKEY BACON SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.50
"ITALIAN MIXED SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.50
"ITALIAN MIXED SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
"GOURMET MIXED SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.50
"GOURMET MIXED SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
"TURKEY SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.50
"TURKEY SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
"BAKED HAM SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.50
"BAKED HAM SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
"B.L.T. SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.50
"B.L.T. SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
"TUNA SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.50
"TUNA SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
"SALAMI SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.50
"SALAMI SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
"VEGGIE SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,5.50
"VEGGIE SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
"CRISPY CHICKEN SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,6.49
"CRISPY CHICKEN SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.99
"GRILLED CHICKEN SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,6.49
"GRILLED CHICKEN SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.99
"CHEESE SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,4.99
"CHEESE SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,7.99
"CHEESEBURGER SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,6.49
"CHEESEBURGER SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.99
"BUFFALO CHICKEN SUB - 6""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,6.49
"BUFFALO CHICKEN SUB - 12""",LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.99
BLT CLUB - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.99
MEATBALL PARMESAN SUB - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
PHILLY STEAK SUB - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.99
SAUSAGE PARMESAN SUB - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
CHICKEN PARMESAN SUB - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
BBQ CHICKEN SUB - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
BUFFALO CHICKEN SUB - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
GRILLED CHICKEN STEAK SUB - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.99
EGGPLANT PARMESAN SUB - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,8.50
ROAST BEEF WRAP - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,10.25
TURKEY BACON WRAP - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,10.25
ITALIAN MIXED WRAP - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.25
GOURMET MIXED WRAP - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.25
TURKEY WRAP - REGULAR,LOCAL JOE COFFEE ROASTERS,"CHOWNOW, HONOLULU, HI",,9.25
