name,restaurant_name,identifier,calories,price_usd
QUESADILLA - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,12.00
WINGS GF - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,13.00
BRUSSELS GF - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,10.00
HUMMUS & GRILLED FLAT BREAD - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,11.00
FRIED GREEN BEANS  GF - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,9.00
CAESAR SALAD - SMALL,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,7.00
CAESAR SALAD - LARGE,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,10.00
THE WEDGE SALAD - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,12.00
GARDEN SALAD - SMALL,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,5.00
GARDEN SALAD - LARGE,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,10.00
TACO SALAD GF - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,12.00
STRAWBERRY KALE GF - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,12.00
BUILD YOUR OWN BURGER - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,13.00
BLACKENED SALMON BLT - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,18.00
REUBEN - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,15.00
THAI STICK - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,14.00
KIDS BURGER - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,5.00
NEL’S PHILLY - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,17.00
CHICKEN CAESAR WRAP - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,14.00
MEMPHIS CHICKEN - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,15.00
BEYOND MEAT BURGER GF V - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,16.00
PATTY MELT - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,16.00
THE F’N REXROAD*  15 - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,16.00
THE CALIFORNIAN - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,16.00
LPH DOUBLE DOUBLE* - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,15.00
BACON WRAPPED MEATLOAF - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,19.00
STEAK FRITES - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,23.00
ANCHO CHICKEN TACOS - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,13.00
LPH ALFREDO - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,14.00
GRILLED SALMON GF - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,22.00
GRAIN BOWL GF V - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,13.00
BUFFALO MAC - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,18.00
TACO MAC - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,18.00
BEYOND MAC - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,18.00
ANCHO CHICKEN TACOS - 4PPL,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,35.00
ANCHO CHICKEN TACOS - 2PPL,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,20.00
GRILLED SALMON - 4PPL,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,60.00
GRILLED SALMON - 2PPL,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,40.00
GRILLED LEMON HERB CHICKEN - 4PPL,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,35.00
GRILLED LEMON HERB CHICKEN - 2PPL,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,20.00
BURGER PACK - 4 PERSON,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,30.00
BURGER PACK - 2 PERSON,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,20.00
FRENCH FRIES - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,5.00
SEASONAL FRUIT - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,5.00
HOUSE SALAD - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,5.00
SEASONAL VEGETABLES - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,5.00
MASHED POTATOES - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,5.00
SWEET POTATO FRIES - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,7.00
MARGARITA - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,30.00
BASIL LIMEADE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,12.00
PAN AMERICAN CLIPPER - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,12.00
AUNT SALLY'S OLD ORCHARD - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,12.00
SALMON CREEK MERLOT BOTTLE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,28.00
CHEF'S OLD FASHIONED - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,12.00
FIRESTEED PINOT NOIR BOTTLE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,36.00
COOPER AND THIEF RED BLEND BOTTLE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,42.00
ROSE ALL DAY BOTTLE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,36.00
REDTREE CHARDONNAY BOTTLE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,28.00
ACROBAT PINOT GRIS - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,36.00
BUDWEISER BOTTLE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,6.00
BUD LIGHT BOTTLE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,6.00
PABST BLUE RIBBON CAN - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,5.00
AVERY WHITE RASCAL - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,6.00
HIGH NOON HARD SELTZER - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,6.00
DESCHUTTES FRESH SQUEEZED - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,6.00
CLAOUSTHALER NA BEER BOTTLE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,6.00
COKE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,3.00
DIET COKE - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,3.00
GRAPE SODA - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,3.00
ROOT BEER - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,3.00
KIDS CHICKEN TENDERS - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,8.00
KIDS PASTA - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,9.00
KIDS CHEESEBURGER - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,9.00
KIDS GRILLED CHICKEN BREAST - REGULAR,LONGMONT PUBLIC HOUSE,"LONGMONT, CO",,9.00
