name,restaurant_name,identifier,calories,price_usd
FRENCH FRIES - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,4.99
MOZZARELLA STICKS WITH SAUCE (6) - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,6.99
CHICKEN TENDERS (6) - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,7.99
GARLIC BREAD - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,4.50
FRIED JALEPENOS (6) - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,6.99
FRIED MEATBALLS (4) - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,8.99
FRIED CALAMARI - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,12.99
GARLIC KNOTS WITH SAUCE (6) - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,4.50
LORENZO’S CHICKEN WINGS (10) - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,12.99
TORTELLINI SPINACH SOUP - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,6.95
PASTA FAGIOLI SOUP - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,6.95
CAPRESE SALAD - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,9.95
GREEK SALAD - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,7.95
CAESAR SALAD - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,7.95
HOUSE SALAD - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,7.99
CHICKEN PARMIGIANA HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,11.99
VEAL PARMIGIANA HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,12.99
SAUSAGE PARMIGIANA HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,11.99
SHRIMP PARMIGIANA HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,12.99
EGGPLANT PARMIGIANA HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,11.99
SAUSAGE & PEPPERS HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,11.99
PHILLY CHEESE STEAK HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,10.99
POTATOES & EGGS HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,9.99
PEPPERS & EGGS HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,10.99
CAPRESE HERO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,12.99
MEATBALL PARMIGIANI - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,11.99
HOMEMADE CALZONE - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,9.99
12 INCH  STROMBOLI ROLL - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,10.99
12 INCH  SAUSAGE ROLL - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,10.99
12 INCH  SPINACH ROLL - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,10.99
12 INCH  CHICKEN ROLL - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,10.99
12 INCH  EGGPLANT ROLL - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,10.99
LORENZO’S HOMEMADE SAUCE - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,10.99
PENNE ALLA VODKA - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,11.99
FETTUCCINE ALFREDO - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,11.99
PENNE WITH BROCCOLI GARLIC & OIL - REGULAR,LORENZO'S PIZZERIA,"CHOWNOW, CHARLOTTE, NC",,10.99
