name,restaurant_name,identifier,calories,price_usd
GARLIC MOZZARELLA STICKS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,6.99
MOZZARELLA STICKS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,5.99
MUNCHERS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,3.99
CHEESE FRIES REGULAR - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,5.99
JALAPENO CHEESE FRIES REGULAR - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,5.99
CAJUN RANCH CHEESE FRIES REGULAR - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,5.99
LARGE CHEESE FRY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.49
LARGE JALAPENO CHEESE FRIES - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.49
LARGE CAJUN RANCH CHEESE FRY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.49
GARDEN SALAD - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.99
GRILLED CHICKEN SALAD - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
CHICKEN TIKA - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
GYRO SALAD - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
FISH SALAD - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
SHRIMP SALAD - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
CHICKEN TENDER SALAD - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
30 PIECE BONELESS WINGS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,39.99
6 PIECE WINGS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.99
10 PIECE WINGS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
20 PIECE WINGS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,22.99
30 PIECE WINGS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,33.99
50 PIECE WINGS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,55.99
100 PIECE WINGS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,109.99
6 PIECE WING COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,10.69
10 PIECE WING COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,13.99
20 PIECE WING COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,25.99
8 INCH  PHILLY CHEESESTEAK ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
8 INCH  CHICKEN PHILLY SANDWICH ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
FISH SUB SANDWICH ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,10.99
TRADITIONAL GYRO SANDWICH ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,8.99
CHICKEN GYRO SANDWICH ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,8.99
REGULAR CHICKEN SANDWICH - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,5.99
SPICY CHICKEN SANDWICH - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,6.99
BBQ CHICKEN SANDWICH - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,6.99
HONEY MUSTARD CHICKEN SANDWICH - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,6.99
8 INCH  PHILLY CHEESESTEAK COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,14.99
8 INCH  CHICKEN PHILLY SANDWICH COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,14.99
FISH SUB SANDWICH COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,12.99
CHICKEN GYRO SANDWICH COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,10.99
LAMB GYRO SANDWICH COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,10.99
CHEESEBURGER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,6.99
DOUBLE CHEESEBURGER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,8.99
TRIPLE CHEESEBURGER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,10.99
BACON CHEESEBURGER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,8.99
DOUBLE BACON CHEESEBURGER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,10.99
TRIPLE BACON CHEEEBURGER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,17.99
CHEESEBURGER COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,10.99
DOUBLE CHEESEBURGER COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,13.99
TRIPLE CHEESEBURGER COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,15.99
BACON CHEESEBURGER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,10.99
DOUBLE BACON CHEESEBURGER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,15.99
TRIPLE BACON CHEESEBURGER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,17.99
3 PIECE TENDERS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.49
6 PIECE TENDERS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,13.99
10 PIECE TENDERS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,23.99
15 PIECE TENDERS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,33.99
20 PIECE TENDERS - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,39.99
3 PIECE TENDER COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,9.99
4 PIECE TENDER COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,12.99
6 PIECE TENDER COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,17.99
2 PIECES OF FISH COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
4 PIECES OF FISH COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,18.99
2 PIECES OF FISH ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,8.99
4 PIECES OF FISH ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,15.99
6 PIECES OF SHRIMP ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.99
10 PIECES OF SHRIMP ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,10.99
POPCORN SHRIMP ONLY - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.99
6 PIECES OF SHRIMP COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
10 PIECES OF SHRIMP COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,14.99
POPCORN SHRIMP COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
1 PIECE OF FISH AND 4 SHRIMP COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,11.99
GRILLED CHICKEN RICE PLATTER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,13.99
CHICKEN TIKA RICE - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,13.99
GYRO RICE PLATTER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,13.99
FISH RICE PLATTER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,13.99
SHRIMP RICE PLATTER - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,13.99
5 PIECE CHICKEN NUGGET COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.99
2 PIECE TENDER COMBO - REGULAR,LOS PINOS RESTAURANT,"CHOWNOW, MOUNTAIN HOME, ID",,7.99
