name,restaurant_name,identifier,calories,price_usd
HILLTOP HAMBURGER BUNS - 6752900 - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,8.00
BREW CITY - 7265424 - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,41.00
FIRE GRILLED CHICKEN SANDWICH - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,12.59
THREE CHEESE RAVIOLI - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,15.59
STRAWBERRY HERB & SPRING MIX SALAD - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,12.49
RAINBOW SHRIMP BOWL - SMALL,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,11.49
RAINBOW SHRIMP BOWL - LARGE,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,14.98
BISON BISCUIT BOWL - SMALL,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,11.49
BISON BISCUIT BOWL - LARGE,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,14.98
MEATLESS MEXICAN PIZZA - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,11.49
6 WINGS - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,6.69
12 WINGS - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,13.20
CORKSCREW CALAMARI - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,8.49
BROCCOLI CHEDDAR SOUP - CUP,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,4.99
BROCCOLI CHEDDAR SOUP - BOWL,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,8.48
CAESAR SALAD - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,12.49
SEASONAL BERRY & PECAN SALAD - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,12.49
STRAWBERRY HERB & SPRING MIX SALAD - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,12.49
BUILD YOUR OWN BURGER - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,9.49
FIRE GRILLED CHICKEN SANDWICH - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,12.59
CUBAN REUBEN - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,12.59
BBQ TRI TIP SANDWICH - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,13.49
CRAFT YOUR OWN | FULL PIE - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,12.49
CRAFT YOUR OWN | HALF & HALF - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,11.49
SUPREME PIZZA - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,14.49
VEGGIE PIZZA - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,12.49
BBQ CHICKEN PIZZA - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,14.49
MEATLESS MEXICAN PIZZA - REGULAR,LOUISIANA CAFE,"CHOWNOW, SAINT PAUL, MN",,11.49
