name,restaurant_name,identifier,calories,price_usd
ABE'S SPECIAL - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,9.00
OMELETTE - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,7.00
BASIC BREAKFAST SANDWICH | EGG & CHEESE - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,3.50
"BASIC BREAKFAST SANDWICH | 1 EGG WITH HAM, BACON OR SAUSAGE - REGULAR",LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,4.50
PREMIUM BREAKFAST SANDWICH - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,6.00
BREAKFAST SIDES - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,1.50
10. HONG'S TOFU BANH MI - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,9.98
05. CHARLIE'S GRILLED PORK BUN - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,9.98
06. CELINE'S GRILLED SHRIMP BUN - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,10.98
08. CHIA'S GRILLED SHRIMP ASIAN SALAD - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,11.98
09. QUANG'S GRILLED PORK BANH MI - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,9.98
01. VINH'S GRILLED CHICKEN RICE BOWL - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,9.98
02. CHLOE'S FRIED TOFU RICE BOWL - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,9.98
03. GRANDMA'S BEEF PHO - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,10.98
04. MAI'S GRILLED CHICKEN PHO - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,9.98
07. HAI'S GRILLED CHICKEN COBB SALAD - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,11.98
BUILD YOUR OWN | PHO - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,6.99
BUILD YOUR OWN | RICE BOWL - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,6.99
BUILD YOUR OWN | SALAD - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,6.99
BUILD YOUR OWN | BANH MI SANDWICH - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,6.99
BUILD YOUR OWN | BUN - REGULAR,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,6.99
COFFEES - 16 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,4.00
COFFEES - 24 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,5.00
FRESH JUICES - 16 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,4.00
FRESH JUICES - 24 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,6.00
ICE MILK TEAS - 16 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,4.00
ICE MILK TEAS - 24 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,5.00
ICED FRUITY TEAS - 16 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,3.50
ICED FRUITY TEAS - 24 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,5.00
SMOOTHIES - 16 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,4.00
SMOOTHIES - 24 OZ,LUCKY'S 13 PUB,"CHOWNOW, BURNSVILLE, MN",,6.00
