name,restaurant_name,identifier,calories,price_usd
MOZZARELLA CHEESE STICKS - REGULAR,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,6.95
PICKLE FRIES BASKET - REGULAR,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,7.95
CHEESE BREADSTICKS - REGULAR,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,5.95
BUFFALO CHIPS BASKET - REGULAR,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,5.95
BEER BATTERED ONION PETALS - REGULAR,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,6.95
LOADED FRIES - REGULAR,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,6.95
BUFFALO CHICKEN DIP - REGULAR,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,7.99
LOADED CHEESE BREADSTICKS - REGULAR,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,6.95
BUFFALO WINGS - 6 WINGS,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,8.00
BUFFALO WINGS - 12 WINGS,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,15.00
BUFFALO WINGS - 25 WINGS,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,28.00
BUFFALO WINGS - 50 WINGS,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,55.00
BONELESS BUFFALO WINGS - 6 WINGS,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,6.00
BONELESS BUFFALO WINGS - 12 WINGS,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,10.00
BONELESS BUFFALO WINGS - 18 WINGS,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,15.00
BONELESS BUFFALO WINGS - 24 WINGS,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,20.00
PERSONAL VILLAGE STROMBOLI - PERSONAL,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,7.95
MEDIUM VILLAGE STROMBOLI - MEDIUM,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,12.95
LARGE VILLAGE STROMBOLI - LARGE,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,16.95
THREE TOPPINGS STROMBOLI - PERSONAL,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,6.95
THREE TOPPINGS STROMBOLI - MEDIUM,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,10.95
THREE TOPPINGS STROMBOLI - LARGE,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,14.95
APPLE DESSERT PIZZA - PERSONAL,MAIN STREET PIZZERIA & TAPHOUSE,"CHOWNOW, SPARTA, NC",,5.95
