name,restaurant_name,identifier,calories,price_usd
COLD ANTIPASTO - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,9.95
CARCIOFI ROMANA - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,8.95
MOZZARELLA DI BUFALA & BURRATA - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,10.95
CALAMARI FRITTI - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,9.95
COZZE IN BRODO - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,8.95
BEETS AL FORNO - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,8.25
PESCE ALLA GRIGLIA - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,11.95
MINESTRONE SOUP - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,5.00
PASTA FAGIOLI - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,5.00
PRINCIPE SALAD - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,5.95
PRINCIPE SALAD - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,9.25
PARADISO SALAD - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,5.95
PARADISO SALAD - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,9.25
GORGONZOLA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,5.95
GORGONZOLA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,8.95
ITALIANA SALAD - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,5.95
ITALIANA SALAD - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,8.95
CAESAR - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,5.95
CAESAR - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,9.25
CHEESE PIZZA | SMALL 12 INCH  - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,8.95
CHEESE PIZZA | LARGE 16 INCH  - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,13.95
SICILIAN PIZZA | LARGE 16 INCH  - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,18.95
ZIO DAMIANO PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,9.95
ZIO DAMIANO PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,14.95
MALDINI PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,11.25
MALDINI PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,19.95
CAPRI PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,13.95
CAPRI PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,21.95
BIANCA PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,10.95
BIANCA PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,17.95
ITALIANA PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,10.95
ITALIANA PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,16.95
NAPOLI PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,12.95
NAPOLI PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,18.95
VERDURE PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,10.25
VERDURE PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,16.95
LIGURIA PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,10.95
LIGURIA PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,16.95
MARIA PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,10.95
MARIA PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,16.95
CALABRESE PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,10.95
CALABRESE PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,16.95
ADRIATICA PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,14.95
ADRIATICA PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,22.95
EMIGLIANA PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,10.25
EMIGLIANA PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,16.95
VEGETARIAN PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,11.25
VEGETARIAN PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,18.95
ANTONELLO PIZZA - SMALL,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,10.95
ANTONELLO PIZZA - LARGE,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,18.95
GNOCCHI ALBANO - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,14.50
CAVATELLI BARESI - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,13.95
CANNELLONI - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,13.95
PAPPARDELLE IL FORNO - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,13.95
RISOTTO ADRIATICO - REGULAR,MAINLAND INDIA RESTAURANT,"CHOWNOW, NILES, IL",,20.95
