name,restaurant_name,identifier,calories,price_usd
ENSALADA CABO SAN LUCAS - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,11.00
FAJITA SALAD - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,9.50
BURRITO SALAD - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,11.00
SPINACH SALAD - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,11.99
TACO SALAD - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,10.25
MAHI MAHI SALAD - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.00
BURRITOS DE CARNE ASADA - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,14.00
BURRITO CANCUN - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.00
ENCHILADAS SUPREME - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,14.00
BURRITO JAMBALAYA - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,14.00
PORK ENCHILADAS - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,14.00
BURRITO SUDADO - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.00
ENCHILADAS MEXICANA - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,14.00
BURRITO DELUXE - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.00
ENCHILADAS POBLANAS - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,14.00
QUESADILLA RANCHERA - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,12.99
FLAUTAS MEXICANAS - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,14.00
CHIMICHANGAS DELUXE - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.00
POLLO ASADO - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.99
CHICKEN POBLANO - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.99
ARROZ CON POLLO - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.99
CHICKEN BURRITOS DINNER - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,11.99
TOLTECOS CHICKEN PLATTER - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,14.50
MOLE RANCHERO - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.00
CHORI-POLLO - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,13.99
VERACRUZ PARRILLADA - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,19.00
FAJITA DEL MAR - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,18.00
SEAFOOD & RICE - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,17.00
MAHI MAHI PLATTER - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,18.00
TACOS DEL MAR - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,16.00
ENCHILADAS VERACRUZ - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,15.00
GARDEN QUESADILLA - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,12.00
GARDEN BURRITO DELUXE - REGULAR,MAIZE MEXICAN GRILL - E. GREEN ST.,"CHOWNOW, CHAMPAIGN, IL",,12.00
