name,restaurant_name,identifier,calories,price_usd
PARTY PLATTER - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,14.00
GARLIC SHRIMP - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,12.00
CRISPY SHRIMP - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,12.00
GRANDE NACHOS - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,12.00
CHICKEN N' CHEESE QUESADILLAS - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,9.00
MINI TACOS - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,8.00
POTATO SKINS - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,8.00
BBQ PULLED PORK QUESADILLAS - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,10.00
MOZZARELLA STICKS - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,8.00
CALAMARI - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,11.00
BUFFALO WINGS - 8 PC,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,10.00
BUFFALO WINGS - 14 PC,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,15.00
SMOKED GOUDA MAC N' CHEESE - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,10.00
FIRECRACKER SHRIMP - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,12.00
PULLED PORK GOUDA MAC & CHEESE - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,12.00
CHEESE QUESADILLA - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,9.00
BRUSCHETTA - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,8.00
BUFFALO CHICKEN DIP - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,10.00
DEEP FRIED PICKLES - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,8.00
MUSSELS - REGULAR,MALLIES SPORTS GRILL AND BAR,"CHOWNOW, SOUTHGATE, MI",,12.00
