name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,0.00
BISCUITS & GRAVY WITH TWO EGGS - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,8.50
BREAKFAST BURRITO - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,8.00
BREAKFAST SANDWICH - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,7.70
FRENCH TOAST - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,10.75
HOUSE PLATE - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,10.25
SCRAMBLE BOWL - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,10.25
SIDE OF BACON OR SAUSAGE - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.50
AVOCADO TOAST - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,9.35
"BAGEL, CREAM CHEESE & LOX - REGULAR",MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,8.40
PESTO EGGS - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,9.50
GARLIC ROSEMARY BAGEL - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.95
JALAPENO SWISS BAGEL - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.95
PLAIN JANE BAGEL - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.40
CINNAMON TWISTS - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.50
COFFEE CAKE - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.95
OREGON BERRY SCONE - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.50
AULAIT - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,1.75
AULAIT - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.50
AULAIT - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.75
AULAIT - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.15
BREVE - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.60
BREVE - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.40
BREVE - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.15
BREVE - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.75
CAPPUCCINO - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.50
COLD BREW - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.95
COLD BREW - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.65
COLD BREW - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.15
DOUBLE SHOT OF ESPRESSO - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,1.70
DRIP HOUSE BREW - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.10
DRIP HOUSE BREW - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.60
DRIP HOUSE BREW - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.15
DRIP HOUSE BREW - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.70
GOODBEAN DREAM - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.50
GOODBEAN DREAM - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.15
GOODBEAN DREAM - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.75
GOODBEAN DREAM - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,6.25
GOODBEAN SCREAM - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.65
GOODBEAN SCREAM - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.15
GOODBEAN SCREAM - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.75
GOODBEAN SCREAM - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,6.25
JVILLE THRILL - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.15
JVILLE THRILL - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.75
JVILLE THRILL - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,6.25
LATTE - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.25
LATTE - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.15
LATTE - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.75
LATTE - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.25
MEXICAN MOCHA - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.50
MEXICAN MOCHA - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.25
MEXICAN MOCHA - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.90
MEXICAN MOCHA - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.50
MOCHA - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.65
MOCHA - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.45
MOCHA - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.20
MOCHA - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.80
OREGONA - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.25
OREGONA - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.95
OREGONA - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.90
OREGONA - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.25
WHITE MOCHA - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.30
WHITE MOCHA - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.75
WHITE MOCHA - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.40
WHITE MOCHA - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.95
MACCHIATO - 8 OZ.,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.00
AMERICANO - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.95
AMERICANO - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.95
AMERICANO - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.95
AMERICANO - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.20
CHAI - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.20
CHAI - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.15
CHAI - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.90
CHAI - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.75
DIRTY CHAI - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.30
DIRTY CHAI - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.40
DIRTY CHAI - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.95
DIRTY CHAI - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.50
HOT TEA - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.15
HOT TEA - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.15
HOT TEA - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.15
HOT TEA - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.15
ICED TEA - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.15
ICED TEA - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.65
ICED TEA - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.20
LONDON FOG - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.00
BOTTLED WATER - REGULAR,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,1.00
COLD MILK - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.25
COLD MILK - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.60
COLD MILK - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.20
COLD MILK - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.30
HOT CHOCOLATE - 8 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,2.30
HOT CHOCOLATE - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.05
HOT CHOCOLATE - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.65
HOT CHOCOLATE - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.45
ICE CREAM SMOOTHIE - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.40
ICE CREAM SMOOTHIE - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.95
ICE CREAM SMOOTHIE - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,5.50
ITALIAN SODA - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.05
ITALIAN SODA - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.65
ITALIAN SODA - 20 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,4.20
JUICE - 12 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.15
JUICE - 16 OZ,MAMA ZOE'S,"CHOWNOW, WINSTON SALEM, NC",,3.80
