name,restaurant_name,identifier,calories,fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugars_g,protein_g
DAILY WARRIOR 20 OZ,SMOOTHIE KING,NATIONAL,680,32,0,170,98,13,58,16
DAILY WARRIOR 32 OZ,SMOOTHIE KING,NATIONAL,1050,48,0,260,153,21,92,25
DAILY WARRIOR 40 OZ,SMOOTHIE KING,NATIONAL,1360,64,0,340,196,26,116,33
HYDRATION MANGO PINEAPPLE 20 OZ,SMOOTHIE KING,NATIONAL,230,0,0,270,63,3,50,2
HYDRATION MANGO PINEAPPLE 32 OZ,SMOOTHIE KING,NATIONAL,370,1,0,400,99,5,78,3
HYDRATION MANGO PINEAPPLE 40 OZ,SMOOTHIE KING,NATIONAL,470,1,0,540,126,7,99,4
HYDRATION WATERMELON 20 OZ,SMOOTHIE KING,NATIONAL,270,0,0,270,69,2,52,2
HYDRATION WATERMELON 32 OZ,SMOOTHIE KING,NATIONAL,400,0,0,410,104,3,77,3
HYDRATION WATERMELON 40 OZ,SMOOTHIE KING,NATIONAL,530,1,0,540,138,4,103,4
IMMUNE BUILDER MIXED BERRY 20 OZ,SMOOTHIE KING,NATIONAL,340,1,0,180,84,23,56,2
IMMUNE BUILDER MIXED BERRY 32 OZ,SMOOTHIE KING,NATIONAL,520,1,0,270,126,34,84,4
IMMUNE BUILDER MIXED BERRY 40 OZ,SMOOTHIE KING,NATIONAL,690,2,0,360,168,46,111,5
IMMUNE BUILDER VEGGIE SUPERFOOD 20 OZ,SMOOTHIE KING,NATIONAL,360,1,0,240,90,9,64,3
IMMUNE BUILDER VEGGIE SUPERFOOD 32 OZ,SMOOTHIE KING,NATIONAL,550,2,0,360,137,14,97,5
IMMUNE BUILDER VEGGIE SUPERFOOD 40 OZ,SMOOTHIE KING,NATIONAL,720,2,0,480,180,19,127,7
PURE RECHARGE MANGO STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,300,0,0,150,77,3,63,2
PURE RECHARGE MANGO STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,450,0,0,230,116,5,94,3
PURE RECHARGE MANGO STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,600,1,0,310,155,6,126,4
PURE RECHARGE PINEAPPLE 20 OZ,SMOOTHIE KING,NATIONAL,340,1,5,130,87,5,61,6
PURE RECHARGE PINEAPPLE 32 OZ,SMOOTHIE KING,NATIONAL,520,2,10,210,132,8,92,10
PURE RECHARGE PINEAPPLE 40 OZ,SMOOTHIE KING,NATIONAL,680,2,10,260,174,10,122,13
PURE RECHARGE STRAWBERRY 20 OZ,SMOOTHIE KING,NATIONAL,160,1,5,330,39,9,25,4
PURE RECHARGE STRAWBERRY 32 OZ,SMOOTHIE KING,NATIONAL,240,1,10,490,58,14,37,7
PURE RECHARGE STRAWBERRY 40 OZ,SMOOTHIE KING,NATIONAL,320,2,10,650,77,19,49,9
THE PREMAMA 20 OZ,SMOOTHIE KING,NATIONAL,290,1,5,280,69,9,43,7
THE PREMAMA 32 OZ,SMOOTHIE KING,NATIONAL,440,2,10,420,102,13,65,11
THE PREMAMA 40 OZ,SMOOTHIE KING,NATIONAL,580,3,15,550,136,17,87,15
VEGAN DARK CHOCOLATE BANANA 20 OZ,SMOOTHIE KING,NATIONAL,350,1,0,75,81,9,46,11
VEGAN DARK CHOCOLATE BANANA 32 OZ,SMOOTHIE KING,NATIONAL,560,2,0,115,127,14,74,16
VEGAN DARK CHOCOLATE BANANA 40 OZ,SMOOTHIE KING,NATIONAL,710,3,0,150,161,18,92,21
VEGAN MANGO KALE 20 OZ,SMOOTHIE KING,NATIONAL,330,6,0,80,66,6,46,10
VEGAN MANGO KALE 32 OZ,SMOOTHIE KING,NATIONAL,500,9,0,125,99,9,69,15
VEGAN MANGO KALE 40 OZ,SMOOTHIE KING,NATIONAL,660,12,0,160,132,12,92,20
VEGAN NUTTY SUPER GRAIN 20 OZ,SMOOTHIE KING,NATIONAL,520,26,0,330,61,8,33,19
VEGAN NUTTY SUPER GRAIN 32 OZ,SMOOTHIE KING,NATIONAL,780,39,0,490,91,11,50,28
VEGAN NUTTY SUPER GRAIN 40 OZ,SMOOTHIE KING,NATIONAL,1040,52,0,650,121,15,66,37
VEGAN PINEAPPLE SPINACH 20 OZ,SMOOTHIE KING,NATIONAL,360,6,0,125,75,7,49,11
VEGAN PINEAPPLE SPINACH 32 OZ,SMOOTHIE KING,NATIONAL,540,9,0,190,115,11,75,16
VEGAN PINEAPPLE SPINACH 40 OZ,SMOOTHIE KING,NATIONAL,710,12,0,250,150,15,99,21
VEGGIE APPLE KIWI KALE 20 OZ,SMOOTHIE KING,NATIONAL,270,0,0,125,69,2,55,2
VEGGIE APPLE KIWI KALE 32 OZ,SMOOTHIE KING,NATIONAL,420,0,0,190,106,4,83,2
VEGGIE APPLE KIWI KALE 40 OZ,SMOOTHIE KING,NATIONAL,550,1,0,250,139,5,110,3
