name,restaurant_name,identifier,calories,price_usd
MINT AND SPRING PEA SOUP,TWOFLOWER,"GREAT BARRINGTON, MA",,9.00
GAZPACHO (CUP),TWOFLOWER,"GREAT BARRINGTON, MA",,6.00
GAZPACHO (BOWL),TWOFLOWER,"GREAT BARRINGTON, MA",,9.00
GAZPACHO CARAFE ( DINE IN ONLY),TWOFLOWER,"GREAT BARRINGTON, MA",,20.00
MUFFIN,TWOFLOWER,"GREAT BARRINGTON, MA",,4.00
CROISSANTS,TWOFLOWER,"GREAT BARRINGTON, MA",,3.25
CHOCOLATE CROISSANTS,TWOFLOWER,"GREAT BARRINGTON, MA",,3.25
GLUTEN FREE BROWNIE,TWOFLOWER,"GREAT BARRINGTON, MA",,3.50
OATMEAL RAISIN COOKIE,TWOFLOWER,"GREAT BARRINGTON, MA",,3.00
SCONES,TWOFLOWER,"GREAT BARRINGTON, MA",,3.50
BISCOTTI,TWOFLOWER,"GREAT BARRINGTON, MA",,2.75
CHOCOLATE CHIP COOKIE,TWOFLOWER,"GREAT BARRINGTON, MA",,1.00
APPLE LOAF,TWOFLOWER,"GREAT BARRINGTON, MA",,3.00
FLUFF CAKE,TWOFLOWER,"GREAT BARRINGTON, MA",,4.50
BLUEBERRY FLUFF,TWOFLOWER,"GREAT BARRINGTON, MA",,5.00
MINI CROISSANT,TWOFLOWER,"GREAT BARRINGTON, MA",,2.50
DILL CHICKEN SALAD WRAP,TWOFLOWER,"GREAT BARRINGTON, MA",,12.00
SMOKED TROUT,TWOFLOWER,"GREAT BARRINGTON, MA",,16.00
CHEESE TOAST,TWOFLOWER,"GREAT BARRINGTON, MA",,8.00
NOT PB&J,TWOFLOWER,"GREAT BARRINGTON, MA",,9.00
AVOCADO AND TOMATO TOAST,TWOFLOWER,"GREAT BARRINGTON, MA",,14.00
CALIFORNIA BLT,TWOFLOWER,"GREAT BARRINGTON, MA",,14.00
CHICKEN CAPRESE SANDWICH,TWOFLOWER,"GREAT BARRINGTON, MA",,14.00
PARFAIT,TWOFLOWER,"GREAT BARRINGTON, MA",,8.00
BREAKFAST  SANDWICH,TWOFLOWER,"GREAT BARRINGTON, MA",,10.00
CHORIZO HASH SKILLET,TWOFLOWER,"GREAT BARRINGTON, MA",,14.00
KIMCHI HASH SKILLET,TWOFLOWER,"GREAT BARRINGTON, MA",,14.00
APPLE,TWOFLOWER,"GREAT BARRINGTON, MA",,1.50
OMELETTE W/ GREENS,TWOFLOWER,"GREAT BARRINGTON, MA",,12.00
